,CID,Name,Party,last_name,first_name,crp_web_format
315,N00029736,"Thompson, Glenn",R,Thompson,Glenn,Glenn-Thompson
316,N00007419,"Thompson, Mike",D,Thompson,Mike,Mike-Thompson
317,N00006052,"Thornberry, Mac",R,Thornberry,Mac,Mac-Thornberry
318,N00042715,"Timmons, William",R,Timmons,William,William-Timmons
319,N00027509,"Tipton, Scott",R,Tipton,Scott,Scott-Tipton
320,N00030191,"Titus, Dina",D,Titus,Dina,Dina-Titus
321,N00042649,"Tlaib, Rashida",D,Tlaib,Rashida,Rashida-Tlaib
322,N00036107,"Torres, Norma",D,Torres,Norma,Norma-Torres
323,N00041808,"Trahan, Lori",D,Trahan,Lori,Lori-Trahan
324,N00039122,"Trone, David",D,Trone,David,David-Trone
325,N00004133,"Upton, Fred",R,Upton,Fred,Fred-Upton
326,N00007021,"Vargas, Juan",D,Vargas,Juan,Juan-Vargas
327,N00033839,"Veasey, Marc",D,Veasey,Marc,Marc-Veasey
328,N00034349,"Vela, Filemon",D,Vela,Filemon,Filemon-Vela
329,N00026368,"Walberg, Tim",R,Walberg,Tim,Tim-Walberg
330,N00007690,"Walden, Greg",R,Walden,Greg,Greg-Walden
331,N00035311,"Walker, Mark",R,Walker,Mark,Mark-Walker
332,N00031226,"Walorski, Jackie",R,Walorski,Jackie,Jackie-Walorski
333,N00042403,"Waltz, Michael",R,Waltz,Michael,Michael-Waltz
334,N00033492,"Warren, Elizabeth",D,Warren,Elizabeth,Elizabeth-Warren
335,N00006690,"Waters, Maxine",D,Waters,Maxine,Maxine-Waters
336,N00042126,"Watkins, Steve",R,Watkins,Steve,Steve-Watkins
337,N00033539,"Weber, Randy",R,Weber,Randy,Randy-Weber
338,N00026335,"Webster, Daniel",R,Webster,Daniel,Daniel-Webster
339,N00000515,"Welch, Peter",D,Welch,Peter,Peter-Welch
340,N00033310,"Wenstrup, Brad",R,Wenstrup,Brad,Brad-Wenstrup
341,N00035527,"Westerman, Bruce",R,Westerman,Bruce,Bruce-Westerman
342,N00041002,"Wexton, Jennifer",D,Wexton,Jennifer,Jennifer-Wexton
343,N00027533,"Whitehouse, Sheldon",D,Whitehouse,Sheldon,Sheldon-Whitehouse
344,N00003280,"Wicker, Roger",R,Wicker,Roger,Roger-Wicker
345,N00041997,"Wild, Susan",D,Wild,Susan,Susan-Wild
346,N00030602,"Williams, Roger",R,Williams,Roger,Roger-Williams
347,N00030650,"Wilson, Frederica",D,Wilson,Frederica,Frederica-Wilson
348,N00024809,"Wilson, Joe",R,Wilson,Joe,Joe-Wilson
349,N00031857,"Womack, Steve",R,Womack,Steve,Steve-Womack
350,N00042240,"Wright, Ron",R,Wright,Ron,Ron-Wright
351,N00033220,"Yoho, Ted",R,Yoho,Ted,Ted-Yoho
352,N00007999,"Young, Don",R,Young,Don,Don-Young
353,N00029404,"Zeldin, Lee",R,Zeldin,Lee,Lee-Zeldin
