Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
1,Michael McCaul (R-Texas),"$306,437,919","$500,624,461","$694,811,003",House
2,Darrell Issa (R-Calif),"$215,550,040","$480,325,019","$745,099,999",House
4,Mark Warner (D-Va),"$86,024,219","$228,129,609","$370,235,000",Senate
5,Jared Polis (D-Colo),"$83,065,361","$214,946,679","$346,827,997",House
6,Herb Kohl (D-Wis),"$78,063,023","$171,257,008","$264,450,994",Senate
9,John K. Delaney (D-Md),"$46,786,139","$138,850,569","$230,914,999",House
11,Jay Rockefeller (D-WVa),"$63,082,021","$102,706,012","$142,330,003",Senate
12,Richard Blumenthal (D-Conn),"$79,556,298","$100,115,673","$120,675,049",Senate
13,Vernon Buchanan (R-Fla),"-$63,427,724","$95,327,629","$254,082,982",House
14,Nancy Pelosi (D-Calif),"$7,526,073","$93,987,532","$180,448,991",House
15,Scott Peters (D-Calif),"-$31,969,893","$90,349,050","$212,667,994",House
16,Frank R. Lautenberg (D-NJ),"$57,699,193","$87,557,109","$117,415,025",Senate
17,Dianne Feinstein (D-Calif),"$42,777,230","$70,725,124","$98,673,018",Senate
18,Diane Black (R-Tenn),"$15,793,074","$64,744,035","$113,694,996",House
19,Chris Collins (R-NY),"$13,308,039","$60,351,517","$107,394,996",House
20,Alan Grayson (D-Fla),"$24,137,081","$54,823,540","$85,510,000",House
21,James E. Risch (R-Idaho),"$19,020,059","$53,442,028","$87,863,997",Senate
22,Suzan DelBene (D-Wash),"$23,223,064","$53,234,032","$83,245,000",House
23,Rodney Frelinghuysen (R-NJ),"$21,655,186","$47,990,593","$74,326,000",House
24,Rick Berg (R-ND),"$23,173,481","$46,438,414","$69,703,348",House
25,Bob Corker (R-Tenn),"$8,125,020","$45,289,509","$82,453,998",Senate
26,Gary Miller (R-Calif),"$17,413,059","$44,517,529","$71,622,000",House
27,Jim Renacci (R-Ohio),"$33,472,883","$39,382,836","$45,292,790",House
29,Ron Wyden (D-Ore),"$14,965,048","$38,370,525","$61,776,002",Senate
30,Nita M. Lowey (D-NY),"$14,337,034","$36,633,517","$58,930,000",House
31,Joe Kennedy III (D-Mass),"$15,605,250","$35,677,625","$55,750,000",House
32,Chellie Pingree (D-Maine),"$28,997,063","$34,844,041","$40,691,020",House
33,Trent Franks (R-Ariz),"$11,600,005","$33,925,002","$56,250,000",House
34,Robert Pittenger (R-NC),"$18,615,005","$33,583,501","$48,551,997",House
35,Scott Rigell (R-Va),"$6,745,074","$29,494,036","$52,242,998",House
36,Carolyn B. Maloney (D-NY),"$7,798,020","$28,622,007","$49,445,995",House
37,Tom Petri (R-Wis),"$9,526,024","$27,470,511","$45,414,998",House
38,Mitch McConnell (R-Ky),"$9,946,049","$27,306,524","$44,667,000",Senate
39,Richard Hanna (R-NY),"$13,683,134","$26,579,067","$39,475,000",House
40,Blake Farenthold (R-Texas),"$9,559,098","$24,047,548","$38,535,999",House
41,Ron Johnson (R-Wis),"$8,767,016","$23,755,008","$38,743,000",Senate
42,Kenny Marchant (R-Texas),"$6,717,250","$23,304,732","$39,892,215",House
43,John Hoeven (R-ND),"-$11,591,936","$22,073,031","$55,737,999",Senate
44,Claire McCaskill (D-Mo),"$15,755,207","$21,837,606","$27,920,006",Senate
45,John Campbell (R-Calif),"$8,929,098","$21,597,549","$34,266,000",House
46,Nan Hayworth (R-NY),"$12,237,267","$20,817,633","$29,398,000",House
47,Steve Pearce (R-NM),"$7,483,015","$20,364,007","$33,245,000",House
48,John A. Yarmuth (D-Ky),"$5,316,010","$20,240,503","$35,164,996",House
49,F. James Sensenbrenner Jr (R-Wis),"$16,792,760","$19,574,234","$22,355,708",House
50,Mike Kelly (R-Pa),"$2,733,032","$19,266,515","$35,799,999",House
51,Brad Schneider (D-Ill),"$9,318,440","$18,734,720","$28,151,000",House
52,Tom Price (R-Ga),"$7,098,027","$18,422,013","$29,746,000",House
53,Kay R. Hagan (D-NC),"$2,939,592","$18,124,285","$33,308,978",Senate
54,Bill Foster (D-Ill),"$6,766,022","$17,891,011","$29,016,000",House
