Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
1,Darrell Issa (R-Calif),"$292,250,034","$448,425,019","$604,600,004",House
2,Mark Warner (D-Va),"$95,135,302","$254,176,651","$413,218,000",Senate
3,John K. Delaney (D-Md),"$109,038,155","$222,410,577","$335,782,999",House
4,Jared Polis (D-Colo),"$75,292,432","$216,269,215","$357,245,999",House
5,Dave Trott (R-MI),"$89,945,456","$200,509,228","$311,073,000",House
6,Michael McCaul (R-Texas),"$117,355,892","$162,882,467","$208,409,043",House
7,Jay Rockefeller (D-WVa),"$87,546,023","$110,710,014","$133,874,006",Senate
9,Nancy Pelosi (D-Calif),"$9,606,066","$100,864,528","$192,122,990",House
10,Richard Blumenthal (D-Conn),"$79,915,815","$99,581,170","$119,246,525",Senate
11,Vernon Buchanan (R-Fla),"-$37,534,887","$98,210,549","$233,955,986",House
12,Scott Peters (D-Calif),"$44,858,094","$88,344,051","$131,830,008",House
13,Suzan DelBene (D-Wash),"$32,889,065","$81,249,532","$129,610,000",House
14,Gary Miller (R-Calif),"$29,420,066","$80,335,533","$131,251,000",House
15,Dianne Feinstein (D-Calif),"$42,023,117","$77,235,068","$112,447,020",Senate
16,Alan Grayson (D-Fla),"$6,678,063","$64,375,031","$122,071,999",House
17,Chris Collins (R-NY),"$22,497,031","$59,414,015","$96,331,000",House
18,Bob Corker (R-Tenn),"$20,325,128","$56,862,564","$93,400,000",Senate
19,James E. Risch (R-Idaho),"$19,188,056","$53,630,527","$88,072,998",Senate
20,Jim Renacci (R-Ohio),"$29,231,622","$52,011,811","$74,792,000",House
21,Thomas MacArthur (R-NJ),"$7,252,194","$49,311,596","$91,370,999",House
22,Rodney Frelinghuysen (R-NJ),"$22,195,181","$48,848,590","$75,502,000",House
23,Don Beyer (D-VA),"$16,652,035","$48,716,014","$80,779,993",House
24,Joe Kennedy III (D-Mass),"$20,591,238","$46,201,617","$71,811,997",House
25,Roger Williams (R-Texas),"$15,257,032","$45,213,513","$75,169,995",House
26,Diane Black (R-Tenn),"-$22,508,912","$41,915,544","$106,340,000",House
27,Tom Petri (R-Wis),"$15,241,024","$41,778,011","$68,314,999",House
28,Chellie Pingree (D-Maine),"$34,470,065","$39,960,546","$45,451,027",House
29,John Hoeven (R-ND),"$11,156,072","$38,665,535","$66,174,999",Senate
30,Ron Johnson (R-Wis),"$13,516,014","$36,840,507","$60,165,000",Senate
31,Trent Franks (R-Ariz),"$11,100,004","$33,175,002","$55,250,000",House
32,Scott Rigell (R-Va),"$12,789,057","$33,113,028","$53,437,000",House
33,Fred Upton (R-Mich),"$13,673,197","$32,496,598","$51,320,000",House
34,Nita M. Lowey (D-NY),"$12,280,023","$31,965,011","$51,650,000",House
35,David Perdue (R-GA),"$16,444,214","$31,670,606","$46,896,999",Senate
36,Mitch McConnell (R-Ky),"$11,972,053","$30,402,026","$48,832,000",Senate
37,Kay R. Hagan (D-NC),"-$2,725,307","$29,007,831","$60,740,969",Senate
38,John Fleming (R-La),"$10,218,065","$28,222,531","$46,226,997",House
39,Richard Hanna (R-NY),"$15,292,169","$28,013,584","$40,735,000",House
40,Curt Clawson (R-Fla),"$13,113,153","$26,309,575","$39,505,998",House
41,John Campbell (R-Calif),"$10,212,028","$25,996,514","$41,781,000",House
43,Bruce Poliquin (R-ME),"$9,971,063","$23,830,532","$37,690,001",House
45,Claire McCaskill (D-Mo),"$17,799,204","$23,410,107","$29,021,010",Senate
46,F. James Sensenbrenner Jr (R-Wis),"$19,600,018","$23,287,491","$26,974,964",House
47,Carolyn B. Maloney (D-NY),"$3,728,020","$22,912,009","$42,095,998",House
48,Lloyd Doggett (D-Texas),"$11,264,064","$22,637,031","$34,009,999",House
49,Johnny Isakson (R-Ga),"$8,920,023","$22,531,011","$36,142,000",Senate
50,Lamar Alexander (R-Tenn),"$7,502,052","$22,361,024","$37,219,996",Senate
51,Steve Pearce (R-NM),"$7,718,015","$22,182,007","$36,646,000",House
52,Vance McAllister (R-La),"$6,891,032","$21,984,013","$37,076,995",House
53,Brad Schneider (D-Ill),"$11,678,631","$21,940,815","$32,203,000",House
54,John McCain (R-Ariz),"$14,419,155","$20,594,578","$26,770,001",Senate
55,Steven Daines (R-Mont),"$7,937,090","$20,337,086","$32,737,083",Senate
56,Richard W. Allen (R-GA),"$6,473,019","$19,572,008","$32,670,997",House
57,Robert Pittenger (R-NC),"$6,725,054","$19,300,526","$31,875,999",House
58,John A. Yarmuth (D-Ky),"$5,808,049","$19,251,523","$32,694,998",House
59,Bill Foster (D-Ill),"$7,416,020","$18,790,510","$30,165,000",House
60,Tom Rooney (R-Fla),"$7,583,220","$18,759,484","$29,935,748",House
61,Tom Harkin (D-Iowa),"$11,942,111","$18,214,056","$24,486,002",Senate
62,Buddy Carter (R-GA),"$10,489,671","$17,614,665","$24,739,659",House
63,Mike Kelly (R-Pa),"$8,510,149","$17,295,074","$26,080,000",House
64,Rob Portman (R-Ohio),"$8,599,121","$16,868,060","$25,137,000",Senate
65,Mike Rounds (R-SD),"$5,476,031","$16,172,515","$26,868,999",Senate
66,Jeff Denham (R-Calif),"$5,325,008","$16,112,503","$26,899,998",House
68,Angus King (I-Maine),"$5,460,174","$15,656,086","$25,851,998",Senate
69,Gwen Graham (D-FL),"$5,287,013","$15,546,006","$25,805,000",House
70,Rosa L. DeLauro (D-Conn),"$5,098,014","$15,492,504","$25,886,995",House
71,Dave Camp (R-Mich),"$6,876,638","$15,258,319","$23,640,000",House
72,Cynthia Marie Lummis (R-Wyo),"$5,960,025","$15,031,012","$24,102,000",House
73,Jim Cooper (D-Tenn),"$6,761,058","$15,001,029","$23,241,000",House
74,Rod Blum (R-IA),"$7,158,058","$14,127,029","$21,096,000",House
75,Eric Cantor (R-Va),"$6,173,113","$13,073,556","$19,974,000",House
76,Tom Price (R-Ga),"$9,584,600","$12,384,091","$15,183,582",House
77,Michael F. Bennet (D-Colo),"$4,873,031","$12,159,515","$19,446,000",Senate
79,Richard C. Shelby (R-Ala),"$4,347,016","$11,189,008","$18,031,000",Senate
81,Mike Conaway (R-Texas),"$4,795,317","$10,831,658","$16,868,000",House
83,Jackie Speier (D-Calif),"$5,512,074","$10,339,537","$15,167,000",House
84,Keith J. Rothfus (R-Pa),"$6,422,052","$9,789,026","$13,156,000",House
85,David McKinley (R-WVa),"$4,542,089","$9,686,543","$14,830,997",House
86,Ralph Abraham (R-La),"$4,181,015","$9,573,007","$14,964,999",House
87,Randy Neugebauer (R-Texas),"$5,201,080","$9,426,039","$13,650,998",House
88,French Hill (R-AR),"$3,741,070","$9,381,533","$15,021,996",House
89,Bill Flores (R-Texas),"$8,547,770","$9,158,264","$9,768,758",House
92,Chris Coons (D-Del),"$5,693,058","$8,532,030","$11,371,003",Senate
93,Thom Tillis (R-NC),"$2,064,147","$8,497,069","$14,929,991",Senate
94,Jon Runyan (R-NJ),"$280,022","$8,423,009","$16,565,997",House
95,Vicky Hartzler (R-Mo),"$2,302,026","$8,278,511","$14,254,996",House
96,Ron Wyden (D-Ore),"$6,401,061","$8,196,032","$9,991,004",Senate
97,Beto O'Rourke (D-Texas),"-$1,412,906","$7,910,545","$17,233,997",House
98,Kenny Marchant (R-Texas),"$4,454,585","$7,900,076","$11,345,568",House
99,John Lee Ratcliffe (R-TX),"$3,216,010","$7,865,505","$12,515,000",House
101,Joe Manchin (D-WVa),"$3,810,071","$7,682,035","$11,554,000",Senate
102,John Garamendi (D-Calif),"$2,630,019","$7,516,008","$12,401,997",House
103,Jeff Sessions (R-Ala),"$3,595,057","$7,478,028","$11,361,000",Senate
104,Blake Farenthold (R-Texas),"$3,254,464","$6,933,423","$10,612,383",House
