Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
1,Darrell Issa (R-Calif),"$330,380,031","$464,115,018","$597,850,005",House
2,Herb Kohl (D-Wis),"$276,478,025","$329,913,009","$383,347,994",Senate
3,Mark Warner (D-Va),"$96,221,316","$257,481,658","$418,742,000",Senate
5,Jared Polis (D-Colo),"$70,791,412","$198,695,705","$326,599,999",House
6,John K. Delaney (D-Md),"$65,151,162","$154,601,580","$244,051,998",House
7,Michael McCaul (R-Texas),"$102,547,780","$143,153,910","$183,760,040",House
8,Scott Peters (D-Calif),"$27,518,090","$112,467,040","$197,415,991",House
9,Richard Blumenthal (D-Conn),"$89,624,354","$110,426,705","$131,229,056",Senate
10,Jay Rockefeller (D-WVa),"$63,269,025","$101,290,514","$139,312,004",Senate
11,Nancy Pelosi (D-Calif),"$1,046,071","$87,997,030","$174,947,989",House
12,Vernon Buchanan (R-Fla),"-$68,149,853","$82,802,065","$233,753,984",House
13,Diane Black (R-Tenn),"$3,443,087","$69,569,042","$135,694,997",House
14,Dianne Feinstein (D-Calif),"$42,673,137","$68,446,578","$94,220,020",Senate
15,Chris Collins (R-NY),"$22,263,037","$59,104,518","$95,946,000",House
16,Robert Pittenger (R-NC),"$29,927,054","$54,791,526","$79,655,998",House
17,Suzan DelBene (D-Wash),"$23,908,063","$54,251,531","$84,595,000",House
18,James E. Risch (R-Idaho),"$19,125,058","$53,533,528","$87,941,998",Senate
19,Bob Corker (R-Tenn),"$8,675,020","$49,114,509","$89,553,998",Senate
20,Rick Berg (R-ND),"$24,259,979","$49,099,414","$73,938,849",House
21,Gary Miller (R-Calif),"$17,813,046","$46,542,523","$75,272,000",House
22,Rodney Frelinghuysen (R-NJ),"$20,908,191","$45,402,595","$69,897,000",House
23,Chellie Pingree (D-Maine),"$34,418,068","$40,462,046","$46,506,025",House
24,Alan Grayson (D-Fla),"-$2,212,951","$40,362,024","$82,936,999",House
25,Jim Renacci (R-Ohio),"$36,338,760","$39,634,731","$42,930,702",House
26,Scott Rigell (R-Va),"$14,104,074","$38,247,537","$62,391,000",House
27,John Hoeven (R-ND),"$10,209,077","$37,115,538","$64,021,999",Senate
28,John Fleming (R-La),"$11,981,047","$35,129,023","$58,277,000",House
29,Nita M. Lowey (D-NY),"$12,816,023","$34,290,511","$55,765,000",House
30,Trent Franks (R-Ariz),"$11,050,005","$33,185,001","$55,319,998",House
