Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
4,Darrell Issa (R-Calif),"$163,165,026","$323,782,513","$484,400,000",House
5,Jared Polis (D-Colo),"$162,686,457","$308,189,229","$453,692,001",House
8,Mark Warner (D-Va),"$90,164,166","$245,680,083","$401,196,000",Senate
9,John K Delaney (D-Md),"$92,656,173","$219,257,088","$345,858,003",House
10,Trey Hollingsworth (R-Ind),"$50,063,050","$142,704,025","$235,345,000",House
11,Don Beyer (D-Va),"$13,857,049","$120,366,017","$226,874,985",House
12,Chris Collins (R-NY),"$43,520,030","$86,397,515","$129,275,000",House
13,Diane Black (R-Tenn),"$37,973,098","$84,034,052","$130,095,007",House
14,Bob Corker (R-Tenn),"$23,108,047","$64,967,523","$106,827,000",Senate
15,Jim Renacci (R-Ohio),"$34,484,549","$64,560,774","$94,637,000",House
16,Thomas MacArthur (R-NJ),"$21,953,422","$64,462,709","$106,971,997",House
17,Paul Mitchell (R-Mich),"$16,319,059","$62,302,028","$108,284,998",House
18,Claire McCaskill (D-Mo),"$51,271,456","$61,903,746","$72,536,037",Senate
19,Francis Rooney (R-Fla),"$22,567,770","$59,941,885","$97,316,000",House
20,Suzan DelBene (D-Wash),"$27,179,071","$59,144,535","$91,110,000",House
21,Nancy Pelosi (D-Calif),"-$21,225,953","$58,412,517","$138,050,987",House
22,Roger Williams (R-Texas),"$21,184,064","$46,388,528","$71,592,993",House
23,John Hoeven (R-ND),"$17,859,125","$46,115,062","$74,371,000",Senate
24,James E Risch (R-Idaho),"$15,083,054","$43,302,025","$71,520,997",Senate
25,Richard W Allen (R-Ga),"$10,843,027","$35,806,512","$60,769,997",House
26,Buddy Carter (R-Ga),"$13,351,059","$35,421,029","$57,491,000",House
27,Scott Peters (D-Calif),"$16,898,044","$34,691,520","$52,484,996",House
28,Fred Upton (R-Mich),"$14,009,182","$33,179,590","$52,349,998",House
29,Jim Cooper (D-Tenn),"$12,285,055","$30,768,027","$49,251,000",House
