Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
93,Keith J Rothfus (R-Pa),"$4,888,054","$7,954,526","$11,020,999",House
94,Joe Manchin (D-WVa),"$3,904,072","$7,894,536","$11,885,000",Senate
95,Earl Blumenauer (D-Ore),"$3,637,045","$7,632,520","$11,627,996",House
96,Al Green (D-Texas),"$2,680,013","$7,565,006","$12,449,999",House
98,Jeff Sessions (R-Ala),"$3,561,070","$7,520,535","$11,480,000",Senate
99,Elizabeth Warren (D-Mass),"$4,259,026","$7,484,513","$10,710,001",Senate
100,Ann L Wagner (R-Mo),"$4,395,121","$7,372,060","$10,348,999",House
101,Dennis Heck (D-Wash),"$4,394,068","$7,270,533","$10,146,999",House
102,Bill Flores (R-Texas),"$2,651,013","$7,269,005","$11,886,997",House
103,John Garamendi (D-Calif),"$2,215,020","$7,258,508","$12,301,996",House
104,John Lee Ratcliffe (R-Texas),"$2,522,009","$7,133,503","$11,744,998",House
106,Joyce Beatty (D-Ohio),"$2,499,028","$6,992,014","$11,485,000",House
107,Sheldon Whitehouse (D-RI),"$3,051,266","$6,821,132","$10,590,999",Senate
108,Blake Farenthold (R-Texas),"$3,097,821","$6,601,787","$10,105,753",House
109,George Holding (R-NC),"$2,981,039","$6,573,019","$10,164,999",House
110,Jim Himes (D-Conn),"$3,014,049","$6,504,524","$9,994,999",House
111,John L Mica (R-Fla),"$3,252,013","$6,442,006","$9,632,000",House
112,Scott Tipton (R-Colo),"$2,913,070","$6,441,535","$9,970,000",House
113,Debbie Dingell (D-Mich),"$3,633,121","$6,429,060","$9,225,000",House
114,Pat Toomey (R-Pa),"$3,278,118","$6,375,058","$9,471,999",Senate
115,James M Inhofe (R-Okla),"$4,631,961","$6,295,937","$7,959,914",Senate
116,David Schweikert (R-Ariz),"$1,427,011","$5,846,004","$10,264,997",House
117,Ami Bera (D-Calif),"$2,618,070","$5,732,531","$8,846,993",House
118,Paul Ryan (R-Wis),"$2,342,076","$5,661,038","$8,980,000",House
119,Madeleine Z Bordallo (D-Guam),"$2,430,009","$5,565,004","$8,699,999",House
120,Elizabeth Esty (D-Conn),"$3,180,092","$5,542,546","$7,905,000",House
121,Kurt Schrader (D-Ore),"$2,874,133","$5,330,066","$7,786,000",House
122,Markwayne Mullin (R-Okla),"$1,850,044","$5,276,521","$8,702,999",House
123,Virginia Foxx (R-NC),"$2,345,027","$5,248,513","$8,152,000",House
124,John A Barrasso (R-Wyo),"$2,398,015","$5,222,007","$8,046,000",Senate
125,Filemon Vela (D-Texas),"-$104,010","$5,147,982","$10,399,975",House
126,Thad Cochran (R-Miss),"$2,753,120","$5,123,560","$7,494,000",Senate
127,Billy Long (R-Mo),"$2,891,098","$5,069,549","$7,248,000",House
129,Tom Carper (D-Del),"$2,423,147","$4,975,073","$7,526,999",Senate
130,Orrin G Hatch (R-Utah),"$2,113,038","$4,959,519","$7,806,000",Senate
131,Steve Cohen (D-Tenn),"$2,710,109","$4,931,554","$7,153,000",House
132,Brett Guthrie (R-Ky),"$2,063,033","$4,794,516","$7,526,000",House
133,Jim Costa (D-Calif),"$1,777,030","$4,766,514","$7,755,999",House
134,Dina Titus (D-Nev),"$1,853,058","$4,743,528","$7,633,999",House
135,Dean Heller (R-Nev),"$1,025,035","$4,740,516","$8,455,998",Senate
136,Niki Tsongas (D-Mass),"$1,298,047","$4,721,522","$8,144,998",House
137,Austin Scott (R-Ga),"$1,642,043","$4,672,019","$7,701,996",House
138,Harry Reid (D-Nev),"$2,740,055","$4,638,027","$6,535,999",Senate
139,Lamar Smith (R-Texas),"$2,629,082","$4,594,541","$6,560,000",House
140,Suzanne Bonamici (D-Ore),"$2,752,037","$4,591,018","$6,430,000",House
141,John Boehner (R-Ohio),"$2,315,124","$4,507,562","$6,700,000",House
142,Mark Sanford (R-SC),"$2,829,031","$4,507,015","$6,185,000",House
143,Heidi Heitkamp (D-ND),"$2,566,074","$4,467,037","$6,368,000",Senate
144,Matt Cartwright (D-Pa),"$1,682,980","$4,407,466","$7,131,953",House
145,Brad Wenstrup (R-Ohio),"$2,475,060","$4,275,030","$6,075,000",House
146,Susan Brooks (R-Ind),"$1,584,042","$4,239,520","$6,894,999",House
147,Tom Cole (R-Okla),"$2,478,065","$4,237,032","$5,996,000",House
148,Mark R Meadows (R-NC),"$1,221,019","$4,219,009","$7,216,999",House
149,Brad Sherman (D-Calif),"$1,684,014","$4,215,006","$6,745,999",House
150,Tom Rice (R-SC),"-$15,100,976","$4,174,508","$23,449,992",House
151,Ed Whitfield (R-Ky),"$2,207,077","$4,068,538","$5,929,999",House
152,Kathy Castor (D-Fla),"$2,505,045","$4,053,522","$5,602,000",House
154,Brad Ashford (D-Neb),"$2,192,126","$4,035,063","$5,878,000",House
155,Bob Dold (R-Ill),"$1,275,028","$4,033,013","$6,790,998",House
156,Peter Welch (D-Vt),"$2,257,071","$3,881,535","$5,506,000",House
157,Hal Rogers (R-Ky),"$1,782,589","$3,807,087","$5,831,586",House
158,Leonard Lance (R-NJ),"$2,202,063","$3,792,531","$5,383,000",House
159,Chuck Grassley (R-Iowa),"$2,114,077","$3,762,538","$5,411,000",Senate
