Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
2,Darrell Issa (R-Calif),"$198,000,029","$330,050,015","$462,100,002",House
3,Jared Polis (D-Colo),"$150,960,444","$313,556,221","$476,151,998",House
4,Mark Warner (D-Va),"$89,683,260","$238,157,630","$386,632,000",Senate
5,John K Delaney (D-Md),"$96,429,176","$232,816,089","$369,203,002",House
6,Dave Trott (R-Mich),"$75,026,297","$177,149,145","$279,271,994",House
7,Vernon Buchanan (R-Fla),"$26,826,128","$115,534,558","$204,242,989",House
8,Nancy Pelosi (D-Calif),"$9,356,054","$100,643,521","$191,930,988",House
9,Scott Peters (D-Calif),"$72,816,056","$95,569,028","$118,322,000",House
10,Richard Blumenthal (D-Conn),"$65,384,277","$81,745,158","$98,106,040",Senate
11,Dianne Feinstein (D-Calif),"$47,710,090","$79,067,057","$110,424,025",Senate
12,Diane Black (R-Tenn),"$24,932,091","$75,306,048","$125,680,005",House
13,Bob Corker (R-Tenn),"$21,112,052","$69,450,025","$117,787,999",Senate
14,Gary Miller (R-Calif),"$25,556,068","$69,286,033","$113,015,999",House
15,Chris Collins (R-NY),"$24,183,032","$66,414,016","$108,645,000",House
16,Thomas MacArthur (R-NJ),"$21,287,467","$64,014,232","$106,740,997",House
17,Suzan DelBene (D-Wash),"$28,462,106","$62,883,553","$97,305,000",House
18,Claire McCaskill (D-Mo),"$48,898,479","$60,075,756","$71,253,033",Senate
19,James E Risch (R-Idaho),"$20,252,054","$54,705,527","$89,159,000",Senate
20,Rodney Frelinghuysen (R-NJ),"$24,794,208","$54,265,604","$83,737,000",House
21,Roger Williams (R-Texas),"$21,661,041","$46,579,017","$71,496,993",House
22,Don Beyer (D-Va),"$11,815,050","$45,844,023","$79,872,996",House
23,John Hoeven (R-ND),"$17,407,128","$45,646,564","$73,886,000",Senate
24,Joe Kennedy III (D-Mass),"$19,467,231","$42,981,115","$66,495,000",House
25,Ron Johnson (R-Wis),"$13,401,014","$36,683,007","$59,965,000",Senate
26,Trent Franks (R-Ariz),"$11,100,004","$33,175,002","$55,250,000",House
27,Nita M Lowey (D-NY),"$11,981,021","$33,023,010","$54,065,000",House
28,Jim Cooper (D-Tenn),"$11,887,057","$30,359,528","$48,831,999",House
29,David Perdue (R-Ga),"$15,243,144","$30,098,571","$44,953,999",Senate
30,Carolyn B Maloney (D-NY),"$10,142,019","$29,536,009","$48,929,999",House
31,Brad Schneider (D-Ill),"$15,181,485","$29,470,242","$43,759,000",House
32,John Fleming (R-La),"$11,305,058","$29,355,029","$47,405,000",House
33,Mitch McConnell (R-Ky),"$10,564,070","$26,927,535","$43,291,000",Senate
34,Richard Hanna (R-NY),"$14,304,163","$26,909,581","$39,514,999",House
35,John Campbell (R-Calif),"$11,718,040","$25,332,020","$38,946,000",House
36,Johnny Isakson (R-Ga),"$9,770,023","$25,310,511","$40,851,000",Senate
37,Lloyd Doggett (D-Texas),"$12,863,059","$24,679,029","$36,494,999",House
38,Richard W Allen (R-Ga),"$8,202,017","$24,554,007","$40,905,998",House
39,Kenny Marchant (R-Texas),"$16,207,488","$24,227,975","$32,248,463",House
40,Alan Grayson (D-Fla),"$8,624,029","$23,668,014","$38,712,000",House
41,Jim Renacci (R-Ohio),"$10,924,123","$23,005,561","$35,087,000",House
42,Scott Rigell (R-Va),"$9,997,056","$22,993,527","$35,989,999",House
43,Steve Pearce (R-NM),"$7,584,017","$22,022,508","$36,461,000",House
44,Bill Foster (D-Ill),"$8,656,033","$20,910,516","$33,165,000",House
45,Buddy Carter (R-Ga),"$8,503,061","$20,811,530","$33,120,000",House
46,Curt Clawson (R-Fla),"$9,083,038","$20,731,518","$32,379,998",House
47,Rod Blum (R-Iowa),"$9,307,055","$20,393,527","$31,480,000",House
48,John McCain (R-Ariz),"$12,972,168","$18,943,085","$24,914,003",Senate
49,Tom Price (R-Ga),"$7,319,027","$18,714,513","$30,110,000",House
50,Mike Kelly (R-Pa),"$9,457,144","$18,608,572","$27,760,000",House
51,John A Yarmuth (D-Ky),"$5,286,060","$18,488,029","$31,689,998",House
52,Jeff Denham (R-Calif),"$5,940,014","$17,620,005","$29,299,997",House
53,Lamar Alexander (R-Tenn),"-$1,543,959","$16,667,518","$34,878,996",Senate
54,Michael F Bennet (D-Colo),"$6,737,033","$16,433,516","$26,130,000",Senate
55,Mike Rounds (R-SD),"$5,436,045","$16,193,522","$26,950,999",Senate
56,Blaine Luetkemeyer (R-Mo),"$5,466,006","$15,765,503","$26,065,000",House
57,Robert Pittenger (R-NC),"$5,276,053","$15,458,526","$25,641,000",House
58,Rosa L DeLauro (D-Conn),"$5,039,013","$15,301,005","$25,562,997",House
59,Dave Camp (R-Mich),"$6,534,610","$15,007,303","$23,479,997",House
60,Gwen Graham (D-Fla),"$4,487,013","$14,896,005","$25,304,998",House
61,Rob Portman (R-Ohio),"$8,043,119","$14,587,559","$21,132,000",Senate
62,Steven Daines (R-Mont),"$6,496,031","$14,434,015","$22,372,000",Senate
63,F James Sensenbrenner Jr. (R-Wis),"$12,552,177","$13,319,673","$14,087,169",House
64,Ron Wyden (D-Ore),"$9,390,079","$13,070,041","$16,750,004",Senate
65,Randy Neugebauer (R-Texas),"$6,439,096","$12,980,547","$19,521,998",House
66,Angus King (I-Maine),"$4,635,152","$12,668,575","$20,701,999",Senate
67,Dan Coats (R-Ind),"$5,937,056","$12,349,528","$18,762,000",Senate
68,Cynthia Lummis (R-Wyo),"$4,135,014","$12,255,507","$20,376,000",House
69,Jeff Fortenberry (R-Neb),"-$563,988","$12,193,002","$24,949,993",House
70,Ralph Abraham (R-La),"$4,550,051","$12,012,525","$19,474,999",House
71,Bruce Poliquin (R-Maine),"$4,701,014","$11,633,007","$18,565,000",House
72,Mike Conaway (R-Texas),"$5,262,359","$11,591,679","$17,921,000",House
