Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
1,Darrell Issa (R-Calif),"$195,400,035","$448,125,017","$700,850,000",House
2,Michael McCaul (R-Texas),"$258,618,051","$380,411,527","$502,205,003",House
3,Jane Harman (D-Calif),"$160,085,503","$326,844,751","$493,604,000",House
4,John Kerry (D-Mass),"$181,469,521","$231,722,794","$281,976,067",Senate
5,Mark Warner (D-Va),"$76,372,212","$192,730,605","$309,088,999",Senate
7,Herb Kohl (D-Wis),"$88,228,026","$173,538,010","$258,847,994",Senate
8,Jared Polis (D-Colo),"$57,944,127","$143,218,562","$228,492,998",House
10,Vernon Buchanan (R-Fla),"-$57,239,705","$117,370,139","$291,979,983",House
11,Nancy Pelosi (D-Calif),"$5,946,075","$101,123,032","$196,299,990",House
12,Jay Rockefeller (D-WVa),"$61,632,019","$99,057,011","$136,482,003",Senate
13,Alan Grayson (D-Fla),"$57,435,038","$93,896,519","$130,358,000",House
14,Frank R. Lautenberg (D-NJ),"$55,073,211","$85,572,116","$116,071,021",Senate
16,Richard Blumenthal (D-Conn),"$55,119,731","$73,151,590","$91,183,450",Senate
17,Dianne Feinstein (D-Calif),"$44,386,225","$69,046,622","$93,707,020",Senate
18,Bob Corker (R-Tenn),"$11,679,048","$59,550,022","$107,420,996",Senate
19,James E. Risch (R-Idaho),"$19,455,056","$54,096,026","$88,736,997",Senate
20,Kenny Marchant (R-Texas),"$28,276,794","$49,340,275","$70,403,757",House
21,Ron Johnson (R-Wis),"$17,062,029","$46,949,014","$76,836,000",Senate
22,Gary Miller (R-Calif),"$17,454,056","$46,008,028","$74,562,000",House
23,Rodney Frelinghuysen (R-NJ),"$20,350,188","$42,900,594","$65,451,000",House
24,James B. Renacci (R-Ohio),"$32,345,756","$42,060,709","$51,775,662",House
25,Nita M. Lowey (D-NY),"$15,395,036","$41,210,018","$67,025,000",House
27,Mike Kelly (R-Pa),"$7,903,037","$34,612,518","$61,321,999",House
28,Trent Franks (R-Ariz),"$11,600,005","$33,925,002","$56,250,000",House
29,Richard A. Berg (R-ND),"$12,146,147","$33,562,590","$54,979,033",House
30,Diane Lynn Black (R-Tenn),"-$7,315,946","$31,272,522","$69,860,990",House
33,Carolyn B. Maloney (D-NY),"$7,796,017","$28,605,505","$49,414,994",House
34,Tom Petri (R-Wis),"$10,346,025","$28,106,012","$45,865,999",House
35,Richard L Hanna (R-NY),"$13,725,124","$27,837,562","$41,950,000",House
37,Mitch McConnell (R-Ky),"$9,839,049","$27,213,024","$44,587,000",Senate
38,Blake Farenthold (R-Texas),"$11,188,102","$26,654,549","$42,120,996",House
39,Claire McCaskill (D-Mo),"$17,900,212","$26,511,109","$35,122,006",Senate
41,Steve Pearce (R-NM),"$8,033,014","$22,639,007","$37,245,000",House
42,Lamar Alexander (R-Tenn),"$9,651,050","$22,538,024","$35,424,999",Senate
43,John M. Spratt Jr (D-SC),"$7,235,019","$22,213,007","$37,190,996",House
44,Scott Rigell (R-Va),"$7,819,054","$21,969,526","$36,119,998",House
45,John Hoeven (R-ND),"-$12,073,898","$21,622,050","$55,317,999",Senate
46,John Campbell (R-Calif),"$8,438,067","$20,731,033","$33,024,000",House
47,Kay R. Hagan (D-NC),"$4,148,690","$20,680,333","$37,211,977",Senate
48,Olympia J. Snowe (R-Maine),"$9,426,053","$19,348,026","$29,270,000",Senate
49,F. James Sensenbrenner Jr (R-Wis),"$15,678,876","$18,730,850","$21,782,825",House
50,Bill Foster (D-Ill),"$6,976,023","$18,196,011","$29,416,000",House
51,Patrick J. Kennedy (D-RI),"$6,065,004","$18,107,502","$30,150,000",House
52,Christopher J. Lee (R-NY),"$8,334,321","$17,849,160","$27,363,999",House
53,Rosa L. DeLauro (D-Conn),"$5,844,020","$16,626,008","$27,407,996",House
54,Tom Harkin (D-Iowa),"$10,276,123","$16,597,062","$22,918,001",Senate
55,Fred Upton (R-Mich),"$7,762,217","$16,288,608","$24,814,999",House
56,Jeff Bingaman (D-NM),"$6,895,272","$16,251,135","$25,606,999",Senate
57,John McCain (R-Ariz),"$9,249,289","$16,017,639","$22,785,990",Senate
58,Parker Griffith (R-Ala),"$4,392,036","$16,011,017","$27,629,998",House
59,Nan Hayworth (R-NY),"$9,347,241","$15,905,120","$22,463,000",House
60,Lloyd Doggett (D-Texas),"$8,276,090","$15,008,544","$21,740,999",House
61,Cynthia Marie Lummis (R-Wyo),"$5,551,023","$14,822,011","$24,092,999",House
62,Shelley Berkley (D-Nev),"$7,236,882","$13,662,359","$20,087,837",House
63,John Linder (R-Ga),"$6,000,009","$13,100,002","$20,199,996",House
64,Steve Kagen (D-Wis),"$7,431,095","$12,536,047","$17,641,000",House
65,Jackie Speier (D-Calif),"$4,506,072","$12,517,035","$20,527,999",House
66,Michael F. Bennet (D-Colo),"$4,986,027","$12,225,513","$19,465,000",Senate
67,Tom Price (R-Ga),"$9,469,876","$12,204,367","$14,938,858",House
68,Johnny Isakson (R-Ga),"$6,441,116","$11,983,057","$17,524,999",Senate
69,Randy Neugebauer (R-Texas),"$5,172,075","$11,553,036","$17,933,997",House
71,James M. Inhofe (R-Okla),"$5,100,056","$11,288,027","$17,475,999",Senate
72,Alan B. Mollohan (D-WVa),"-$1,016,982","$10,289,506","$21,595,994",House
73,Ben Nelson (D-Neb),"$6,562,096","$10,180,548","$13,799,001",Senate
74,John Fleming (R-La),"$2,655,824","$10,172,792","$17,689,760",House
75,Jon Runyan (R-NJ),"$5,017,042","$9,759,521","$14,502,000",House
76,John A. Yarmuth (D-Ky),"$2,851,010","$9,608,004","$16,364,999",House
77,Vicky Hartzler (R-Mo),"$3,154,027","$8,894,512","$14,634,997",House
78,Sheldon Whitehouse (D-RI),"$3,475,226","$8,883,112","$14,290,999",Senate
79,David B. McKinley (R-WVa),"$4,459,077","$8,810,038","$13,161,000",House
80,Rob Portman (R-Ohio),"$1,325,069","$8,804,534","$16,283,999",Senate
82,Al Franken (D-Minn),"$4,554,050","$8,747,525","$12,941,000",Senate
83,Henry Brown (R-SC),"$3,622,020","$8,613,510","$13,605,000",House
84,Michael N. Castle (R-Del),"$3,807,166","$8,448,083","$13,089,000",House
85,David Dreier (R-Calif),"$4,162,086","$8,421,043","$12,680,000",House
86,Richard C. Shelby (R-Ala),"$4,942,044","$8,373,523","$11,805,002",Senate
87,Jeffrey M. Landry (R-La),"$3,326,016","$8,205,506","$13,084,997",House
88,William Flores (R-Texas),"$3,220,016","$7,924,008","$12,628,000",House
89,Wally Herger (R-Calif),"$2,956,018","$7,535,509","$12,115,000",House
90,Jim Cooper (D-Tenn),"$3,712,040","$7,472,020","$11,232,000",House
92,Dave Camp (R-Mich),"$4,199,146","$7,292,073","$10,385,000",House
94,James L. Oberstar (D-Minn),"$4,184,079","$7,185,039","$10,185,999",House
95,Joe Manchin (D-WVa),"$3,697,087","$7,177,543","$10,658,000",Senate
96,Scott Murphy (D-NY),"$4,101,062","$7,129,030","$10,156,999",House
97,Charlie Wilson (D-Ohio),"$2,032,038","$7,043,518","$12,054,999",House
98,Adam H. Putnam (R-Fla),"$3,541,025","$7,028,012","$10,515,000",House
99,Allen Boyd (D-Fla),"$2,004,014","$7,007,506","$12,010,998",House
100,John Garamendi (D-Calif),"$1,922,009","$6,948,503","$11,974,997",House
101,Jean Schmidt (R-Ohio),"$3,398,056","$6,947,528","$10,497,000",House
