Candidate,Amount
"Boucher, Rick (D-VA)","$519,652"
"Blunt, Roy (R-MO)","$445,287"
"Berman, Howard L (D-CA)","$417,339"
"Boehner, John (R-OH)","$344,550"
"Kirk, Mark (R-IL)","$343,300"
"Cantor, Eric (R-VA)","$331,650"
"Sestak, Joe (D-PA)","$325,689"
"Waxman, Henry (D-CA)","$297,797"
"Meek, Kendrick B (D-FL)","$296,773"
"Murphy, Patrick J (D-PA)","$288,462"
"Hodes, Paul W (D-NH)","$273,950"
"Murphy, Scott (D-NY)","$265,638"
"Hoyer, Steny H (D-MD)","$263,290"
"Eshoo, Anna (D-CA)","$262,135"
"Bono Mack, Mary (R-CA)","$255,766"
"Clyburn, James E (D-SC)","$255,593"
"Upton, Fred (R-MI)","$242,326"
"Markey, Ed (D-MA)","$236,058"
"McNerney, Jerry (D-CA)","$209,325"
"Dingell, John D (D-MI)","$203,200"
"Terry, Lee (R-NE)","$202,850"
"Conyers, John Jr (D-MI)","$200,124"
"Pelosi, Nancy (D-CA)","$200,075"
"Walden, Greg (R-OR)","$196,100"
"Lofgren, Zoe (D-CA)","$185,947"
"Smith, Lamar (R-TX)","$184,100"
"Stearns, Cliff (R-FL)","$183,800"
"Murphy, Christopher S (D-CT)","$182,164"
"Space, Zack (D-OH)","$168,280"
"Markey, Betsy (D-CO)","$160,250"
"Moran, Jim (D-VA)","$159,900"
"Sherman, Brad (D-CA)","$156,550"
"Rogers, Mike (R-MI)","$156,378"
"Towns, Edolphus (D-NY)","$156,300"
"Bachmann, Michele (R-MN)","$155,190"
"Goodlatte, Bob (R-VA)","$152,819"
"Hall, John (D-NY)","$151,400"
"Reichert, Dave (R-WA)","$150,276"
"McCaul, Michael (R-TX)","$150,176"
"Inslee, Jay (D-WA)","$149,715"
"Lungren, Dan (R-CA)","$149,235"
"Issa, Darrell (R-CA)","$149,024"
"Blackburn, Marsha (R-TN)","$148,750"
"Connolly, Gerry (D-VA)","$148,217"
"Shimkus, John (R-IL)","$146,800"
"Maloney, Carolyn B (D-NY)","$146,220"
"Rangel, Charles B (D-NY)","$146,208"
"Maffei, Dan (D-NY)","$144,573"
"Barton, Joe (R-TX)","$142,000"
"Becerra, Xavier (D-CA)","$141,044"
"Camp, Dave (R-MI)","$134,150"
"Giffords, Gabrielle (D-AZ)","$129,848"
"Matheson, Jim (D-UT)","$128,550"
"Sanchez, Loretta (D-CA)","$125,375"
"Schultz, Debbie Wasserman (D-FL)","$123,969"
"Hill, Baron (D-IN)","$123,450"
"Himes, Jim (D-CT)","$122,856"
"Perriello, Tom (D-VA)","$120,425"
"McCarthy, Kevin (R-CA)","$120,400"
"Capuano, Michael E (D-MA)","$120,030"
"Foster, Bill (D-IL)","$119,632"
"Boyd, Allen (D-FL)","$115,401"
"Gonzalez, Charlie A (D-TX)","$113,900"
"Barrow, John (D-GA)","$113,700"
"Moran, Jerry (R-KS)","$113,443"
"Thompson, Bennie G (D-MS)","$112,950"
"Schwartz, Allyson (D-PA)","$112,200"
"Ross, Mike (D-AR)","$111,350"
"Minnick, Walt (D-ID)","$110,717"
"Melancon, Charles (D-LA)","$109,150"
"Schauer, Mark (D-MI)","$108,650"
"Israel, Steve (D-NY)","$108,550"
"Pallone, Frank Jr (D-NJ)","$108,150"
"Paulsen, Erik (R-MN)","$107,550"
"Crowley, Joseph (D-NY)","$104,649"
"Pence, Mike (R-IN)","$104,141"
"Adler, John H (D-NJ)","$103,550"
"Ryan, Paul (R-WI)","$103,000"
"Dreier, David (R-CA)","$102,119"
"Roskam, Peter (R-IL)","$101,900"
"Van Hollen, Chris (D-MD)","$101,850"
"Nye, Glenn (D-VA)","$101,725"
"Weiner, Anthony D (D-NY)","$101,000"
"Tsongas, Niki (D-MA)","$100,250"
"Matsui, Doris O (D-CA)","$99,150"
"Larsen, Rick (D-WA)","$97,950"
"Emerson, Jo Ann (R-MO)","$97,750"
"Critz, Mark (D-PA)","$97,200"
"Harman, Jane (D-CA)","$97,100"
"Bean, Melissa (D-IL)","$96,307"
"Perlmutter, Ed (D-CO)","$96,200"
"Frank, Barney (D-MA)","$95,140"
"Schiff, Adam (D-CA)","$95,000"
"Capps, Lois (D-CA)","$94,300"
"Wu, David (D-OR)","$94,288"
"Gerlach, Jim (R-PA)","$93,750"
"Bishop, Timothy H (D-NY)","$93,225"
"Scalise, Steve (R-LA)","$92,950"
"Welch, Peter (D-VT)","$92,000"
"Peters, Gary (D-MI)","$91,742"
"Schrader, Kurt (D-OR)","$91,550"
"Grayson, Alan (D-FL)","$91,442"
"Rush, Bobby L (D-IL)","$90,750"
"DeGette, Diana (D-CO)","$90,282"
"Doyle, Mike (D-PA)","$89,300"
"Dent, Charlie (R-PA)","$88,650"
"Gingrey, Phil (R-GA)","$88,566"
"Rodgers, Cathy McMorris (R-WA)","$87,638"
"Kratovil, Frank (D-MD)","$87,568"
"Heinrich, Martin (D-NM)","$86,441"
"Owens, Bill (D-NY)","$86,336"
"Titus, Dina (D-NV)","$85,000"
"Pitts, Joe (R-PA)","$83,800"
"Castle, Michael N (R-DE)","$83,200"
"Murphy, Tim (R-PA)","$82,900"
"Salazar, John (D-CO)","$82,900"
"Wolf, Frank (R-VA)","$82,400"
"Sullivan, John (R-OK)","$82,000"
"Tiberi, Pat (R-OH)","$81,650"
"Rooney, Tom (R-FL)","$81,444"
"Holt, Rush (D-NJ)","$81,250"
"Edwards, Chet (D-TX)","$80,950"
