Candidate,Amount
"Byrne, Bradley (R-AL)","$87,000"
"Simpson, Mike (R-ID)","$83,800"
"Lowey, Nita M (D-NY)","$83,000"
"Tsongas, Niki (D-MA)","$81,750"
"Lamborn, Douglas L (R-CO)","$81,500"
"Slaughter, Louise M (D-NY)","$81,200"
"Rogers, Mike (R-MI)","$79,900"
"Posey, Bill (R-FL)","$79,600"
"Bridenstine, James (R-OK)","$79,000"
"Pompeo, Mike (R-KS)","$78,850"
"Thompson, Bennie G (D-MS)","$78,500"
"Price, David (D-NC)","$78,000"
"Ryan, Paul (R-WI)","$77,850"
"McCarthy, Kevin (R-CA)","$77,050"
"Smith, Lamar (R-TX)","$73,344"
"Rooney, Tom (R-FL)","$73,100"
"Larsen, Rick (D-WA)","$73,000"
"Cantor, Eric (R-VA)","$72,280"
"Scott, Austin (R-GA)","$72,134"
"Davis, Susan (D-CA)","$70,750"
"Loebsack, David (D-IA)","$70,000"
"Noem, Kristi (R-SD)","$70,000"
"Enyart, William (D-IL)","$69,498"
"Conaway, Mike (R-TX)","$67,500"
"Cotton, Tom (R-AR)","$67,500"
"Clyburn, James E (D-SC)","$67,250"
"Larson, John B (D-CT)","$66,550"
"Kline, John (R-MN)","$65,498"
"Carson, Andre (D-IN)","$64,750"
"Nunes, Devin (R-CA)","$64,500"
"Hartzler, Vicky (R-MO)","$62,800"
"Reed, Tom (R-NY)","$62,100"
"Cuellar, Henry (D-TX)","$61,750"
"Garamendi, John (D-CA)","$61,750"
"Gallego, Pete (D-TX)","$61,000"
"Cook, Paul (R-CA)","$59,400"
"Hanabusa, Colleen (D-HI)","$58,800"
"Castro, Joaquin (D-TX)","$58,500"
"Kaptur, Marcy (D-OH)","$58,500"
"Scalise, Steve (R-LA)","$57,800"
"Stewart, Chris (R-UT)","$57,774"
"Peters, Gary (D-MI)","$57,650"
"Tiberi, Pat (R-OH)","$57,200"
"Royce, Ed (R-CA)","$56,000"
"Crowley, Joseph (D-NY)","$55,764"
"Wagner, Ann L (R-MO)","$55,600"
"King, Pete (R-NY)","$54,750"
"Neal, Richard E (D-MA)","$54,500"
"Issa, Darrell (R-CA)","$54,375"
"Franks, Trent (R-AZ)","$54,350"
"Boustany, Charles Jr (R-LA)","$54,050"
"Diaz-Balart, Mario (R-FL)","$52,500"
"Harper, Gregg (R-MS)","$52,000"
"Kinzinger, Adam (R-IL)","$52,000"
"Levin, Sander (D-MI)","$52,000"
"Roskam, Peter (R-IL)","$51,800"
"Culberson, John (R-TX)","$50,500"
"Fleischmann, Chuck (R-TN)","$50,500"
"Rodgers, Cathy McMorris (R-WA)","$50,500"
"Runyan, Jon (R-NJ)","$50,400"
"Pascrell, Bill Jr (D-NJ)","$50,350"
"Reichert, Dave (R-WA)","$49,550"
"Barrow, John (D-GA)","$49,500"
"Van Hollen, Chris (D-MD)","$49,500"
"Sessions, Pete (R-TX)","$49,000"
"Thompson, Mike (D-CA)","$49,000"
"Bishop, Sanford (D-GA)","$48,250"
"Wenstrup, Brad (R-OH)","$48,225"
"Hall, Ralph (R-TX)","$47,500"
"Latham, Tom (R-IA)","$47,500"
"Gabbard, Tulsi (D-HI)","$47,350"
"Cooper, Jim (D-TN)","$46,500"
"Hudson, Richard (R-NC)","$46,500"
"Jones, Walter B Jr (R-NC)","$46,500"
"Walden, Greg (R-OR)","$46,500"
"Young, C W Bill (R-FL)","$46,500"
"McIntyre, Mike (D-NC)","$46,498"
"Perlmutter, Ed (D-CO)","$46,200"
"Pelosi, Nancy (D-CA)","$46,000"
"Schiff, Adam (D-CA)","$46,000"
"Fitzpatrick, Michael G (R-PA)","$45,160"
"Engel, Eliot L (D-NY)","$45,000"
"Jenkins, Lynn (R-KS)","$45,000"
"Upton, Fred (R-MI)","$44,500"
"Lankford, James (R-OK)","$44,100"
"Ryan, Tim (D-OH)","$44,000"
"Vargas, Juan (D-CA)","$44,000"
"Fattah, Chaka (D-PA)","$43,000"
"Nunnelee, Alan (R-MS)","$43,000"
"DeSantis, Ron (R-FL)","$42,650"
"Brady, Kevin (R-TX)","$42,000"
"Kind, Ron (D-WI)","$42,000"
"Schock, Aaron (R-IL)","$42,000"
"Johnson, Sam (R-TX)","$41,813"
"McCollum, Betty (D-MN)","$41,000"
"Gardner, Cory (R-CO)","$40,650"
"Meehan, Patrick (R-PA)","$40,600"
"Becerra, Xavier (D-CA)","$40,000"
"Salmon, Matt (R-AZ)","$39,050"
"Owens, Bill (D-NY)","$38,750"
"Blackburn, Marsha (R-TN)","$38,500"
"Beutler, Jaime Herrera (R-WA)","$38,400"
"Andrews, Robert E (D-NJ)","$38,350"
"Fleming, John (R-LA)","$37,500"
"Westmoreland, Lynn A (R-GA)","$37,500"
"Sinema, Kyrsten (D-AZ)","$37,350"
