Candidate,Amount
"Boehner, John (R-OH)","$582,065"
"Goodlatte, Bob (R-VA)","$526,145"
"Walden, Greg (R-OR)","$485,157"
"Upton, Fred (R-MI)","$415,998"
"Gardner, Cory (R-CO)","$413,198"
"McCarthy, Kevin (R-CA)","$365,943"
"Eshoo, Anna (D-CA)","$350,683"
"Peters, Gary (D-MI)","$308,365"
"DelBene, Suzan (D-WA)","$303,985"
"Cotton, Tom (R-AR)","$291,296"
"Terry, Lee (R-NE)","$285,952"
"Lofgren, Zoe (D-CA)","$283,100"
"Cantor, Eric (R-VA)","$272,197"
"Hoyer, Steny H (D-MD)","$265,900"
"Scalise, Steve (R-LA)","$259,900"
"Cassidy, Bill (R-LA)","$251,124"
"Ryan, Paul (R-WI)","$248,590"
"Daines, Steven (R-MT)","$234,966"
"Bass, Karen (D-CA)","$229,999"
"Maloney, Sean Patrick (D-NY)","$224,550"
"Pelosi, Nancy (D-CA)","$217,845"
"Braley, Bruce (D-IA)","$210,234"
"Barrow, John (D-GA)","$209,270"
"Peters, Scott (D-CA)","$203,875"
"Crowley, Joseph (D-NY)","$200,555"
"Connolly, Gerry (D-VA)","$199,021"
"Matsui, Doris O (D-CA)","$193,260"
"Garcia, Joe (D-FL)","$184,273"
"Nadler, Jerrold (D-NY)","$183,700"
"Blackburn, Marsha (R-TN)","$181,600"
"Honda, Mike (D-CA)","$181,070"
"Conyers, John Jr (D-MI)","$180,840"
"Brownley, Julia (D-CA)","$180,030"
"Bera, Ami (D-CA)","$179,740"
"Issa, Darrell (R-CA)","$177,180"
"Smith, Lamar (R-TX)","$176,340"
"Latta, Robert E (R-OH)","$173,300"
"Capps, Lois (D-CA)","$170,350"
"Pompeo, Mike (R-KS)","$167,727"
"Clyburn, James E (D-SC)","$164,750"
"Pallone, Frank Jr (D-NJ)","$164,650"
"Waxman, Henry (D-CA)","$163,350"
"Lujan, Ben Ray (D-NM)","$162,007"
"Rodgers, Cathy McMorris (R-WA)","$156,950"
"Jeffries, Hakeem (D-NY)","$156,690"
"Coffman, Mike (R-CO)","$156,337"
"Guthrie, Brett (R-KY)","$155,200"
"Sessions, Pete (R-TX)","$150,000"
"Reed, Tom (R-NY)","$147,463"
"Kennedy, Joe III (D-MA)","$144,793"
"Capito, Shelley Moore (R-WV)","$144,300"
"Roskam, Peter (R-IL)","$143,760"
"Becerra, Xavier (D-CA)","$141,721"
"Kinzinger, Adam (R-IL)","$141,513"
"Israel, Steve (D-NY)","$141,300"
"Long, Billy (R-MO)","$136,120"
"Chaffetz, Jason (R-UT)","$135,988"
"Ruiz, Raul (D-CA)","$132,768"
"Shimkus, John (R-IL)","$132,500"
"Welch, Peter (D-VT)","$128,850"
"Kuster, Ann (D-NH)","$125,490"
"Paulsen, Erik (R-MN)","$122,700"
"Kingston, Jack (R-GA)","$122,189"
"McCaul, Michael (R-TX)","$119,651"
"Ellmers, Renee (R-NC)","$119,404"
"DeGette, Diana (D-CO)","$119,042"
"Sinema, Kyrsten (D-AZ)","$118,676"
"Deutch, Ted (D-FL)","$117,850"
"Marino, Tom (R-PA)","$117,189"
"Swalwell, Eric (D-CA)","$116,155"
"Butterfield, G K (D-NC)","$116,004"
"Kind, Ron (D-WI)","$114,150"
"Doyle, Mike (D-PA)","$112,500"
"Yoder, Kevin (R-KS)","$108,585"
"Holding, George (R-NC)","$108,500"
"Bishop, Timothy H (D-NY)","$105,790"
"Smith, Jason (R-MO)","$105,650"
"Foster, Bill (D-IL)","$105,290"
"Tiberi, Pat (R-OH)","$104,200"
"Nunes, Devin (R-CA)","$103,985"
"Sherman, Brad (D-CA)","$103,750"
"Maffei, Dan (D-NY)","$102,675"
"Clark, Katherine (D-MA)","$102,550"
"Kilmer, Derek (D-WA)","$102,350"
"Esty, Elizabeth (D-CT)","$101,480"
"Richmond, Cedric (D-LA)","$101,390"
"Ruppersberger, Dutch (D-MD)","$100,550"
"Smith, Adam (D-WA)","$99,500"
"Barber, Ron (D-AZ)","$99,225"
"Neal, Richard E (D-MA)","$98,600"
"Horsford, Steven (D-NV)","$97,900"
"Shuster, Bill (R-PA)","$95,850"
"McNerney, Jerry (D-CA)","$95,600"
"Schneider, Brad (D-IL)","$95,550"
"Johnson, Bill (R-OH)","$95,491"
"Gabbard, Tulsi (D-HI)","$93,357"
"Fitzpatrick, Michael G (R-PA)","$92,600"
"Rogers, Mike (R-MI)","$91,390"
"Lankford, James (R-OK)","$91,350"
"Cicilline, David (D-RI)","$91,200"
"Duckworth, Tammy (D-IL)","$90,109"
"Murphy, Patrick (D-FL)","$89,900"
"Chu, Judy (D-CA)","$88,840"
"Barton, Joe (R-TX)","$86,800"
"Cardenas, Tony (D-CA)","$85,833"
"Royce, Ed (R-CA)","$85,750"
"Camp, Dave (R-MI)","$85,500"
"DeSantis, Ron (R-FL)","$85,500"
"Thornberry, Mac (R-TX)","$84,815"
"Engel, Eliot L (D-NY)","$84,800"
"Thompson, Bennie G (D-MS)","$84,750"
"Schiff, Adam (D-CA)","$84,650"
"Gallego, Pete (D-TX)","$84,360"
"Sensenbrenner, Jim (R-WI)","$84,250"
"Gowdy, Trey (R-SC)","$82,200"
"Whitfield, Ed (R-KY)","$82,000"
"Van Hollen, Chris (D-MD)","$81,347"
"Lance, Leonard (R-NJ)","$80,450"
"Farenthold, Blake (R-TX)","$80,350"
"Simpson, Mike (R-ID)","$79,800"
"Jenkins, Lynn (R-KS)","$79,150"
"Graves, Sam (R-MO)","$79,100"
"Lowey, Nita M (D-NY)","$79,050"
"Brooks, Susan (R-IN)","$79,040"
"Heck, Dennis (D-WA)","$78,810"
"Sanchez, Loretta (D-CA)","$78,600"
"Green, Gene (D-TX)","$78,250"
"Ros-Lehtinen, Ileana (R-FL)","$75,800"
"Tonko, Paul (D-NY)","$75,790"
"Johnson, Hank (D-GA)","$75,600"
"Schock, Aaron (R-IL)","$75,580"
"Castro, Joaquin (D-TX)","$75,235"
"Takano, Mark (D-CA)","$75,100"
"Himes, Jim (D-CT)","$75,000"
"Kelly, Mike (R-PA)","$74,900"
"Castor, Kathy (D-FL)","$74,750"
"Schrader, Kurt (D-OR)","$74,400"
"Chabot, Steve (R-OH)","$74,050"
"Collins, Doug (R-GA)","$73,500"
"Gibson, Chris (R-NY)","$73,265"
"Pitts, Joe (R-PA)","$72,515"
"Meehan, Patrick (R-PA)","$71,474"
"Denham, Jeff (R-CA)","$70,600"
"Brady, Kevin (R-TX)","$70,430"
"Hanabusa, Colleen (D-HI)","$70,200"
"Rush, Bobby L (D-IL)","$70,000"
"Kline, John (R-MN)","$69,900"
"Price, Tom (R-GA)","$69,825"
"Matheson, Jim (D-UT)","$69,590"
"Boustany, Charles Jr (R-LA)","$68,950"
"Griffith, Morgan (R-VA)","$68,530"
"Wagner, Ann L (R-MO)","$67,510"
"Harper, Gregg (R-MS)","$67,000"
"Hensarling, Jeb (R-TX)","$66,900"
"Heck, Joe (R-NV)","$66,190"
"Polis, Jared (D-CO)","$65,932"
"Larson, John B (D-CT)","$65,130"
"Olson, Pete (R-TX)","$64,800"
"Crenshaw, Ander (R-FL)","$63,700"
"Meeks, Gregory W (D-NY)","$63,499"
"Bilirakis, Gus (R-FL)","$63,250"
"Perlmutter, Ed (D-CO)","$63,154"
"Rothfus, Keith J (R-PA)","$63,011"
"Forbes, Randy (R-VA)","$62,080"
"Cohen, Steve (D-TN)","$61,000"
"McClintock, Tom (R-CA)","$60,450"
"Renacci, Jim (R-OH)","$60,200"
"Bishop, Sanford (D-GA)","$59,350"
"McHenry, Patrick (R-NC)","$59,336"
"Davis, Rodney (R-IL)","$59,100"
"Duffy, Sean P (R-WI)","$58,850"
"Murphy, Tim (R-PA)","$58,750"
"Jordan, Jim (R-OH)","$58,455"
"Bustos, Cheri (D-IL)","$58,150"
"Holt, Rush (D-NJ)","$57,680"
"Grayson, Alan (D-FL)","$57,627"
"Dent, Charlie (R-PA)","$57,250"
"Beutler, Jaime Herrera (R-WA)","$57,160"
"Schultz, Debbie Wasserman (D-FL)","$56,725"
"Poe, Ted (R-TX)","$56,600"
"Joyce, David P (R-OH)","$56,350"
"Sanchez, Linda (D-CA)","$56,050"
"Bonamici, Suzanne (D-OR)","$55,950"
"Larsen, Rick (D-WA)","$55,850"
"Levin, Sander (D-MI)","$54,800"
"Franks, Trent (R-AZ)","$54,550"
"Buchanan, Vernon (R-FL)","$54,090"
"Aderholt, Robert B (R-AL)","$53,597"
"Cuellar, Henry (D-TX)","$53,450"
"Salmon, Matt (R-AZ)","$53,100"
"Reichert, Dave (R-WA)","$52,800"
"Yarmuth, John A (D-KY)","$52,290"
"Fattah, Chaka (D-PA)","$52,250"
"Garrett, Scott (R-NJ)","$51,900"
"Clarke, Yvette D (D-NY)","$51,450"
"Moran, Jim (D-VA)","$51,286"
"Kirkpatrick, Ann (D-AZ)","$51,010"
"Rigell, Scott (R-VA)","$50,700"
"Slaughter, Louise M (D-NY)","$49,900"
"Valadao, David (R-CA)","$49,635"
"Thompson, Mike (D-CA)","$49,500"
"Gingrey, Phil (R-GA)","$49,428"
"Calvert, Ken (R-CA)","$49,400"
"Hunter, Duncan D (R-CA)","$49,300"
"Fudge, Marcia L (D-OH)","$47,600"
"Langevin, Jim (D-RI)","$47,350"
"Dingell, John D (D-MI)","$47,300"
"Rahall, Nick (D-WV)","$47,250"
"Sewell, Terri A (D-AL)","$47,240"
"Cleaver, Emanuel (D-MO)","$46,710"
"Diaz-Balart, Mario (R-FL)","$46,350"
"Burgess, Michael (R-TX)","$46,250"
"Tierney, John F (D-MA)","$46,071"
"Shea-Porter, Carol (D-NH)","$45,772"
"Carter, John (R-TX)","$45,500"
"Sires, Albio (D-NJ)","$45,412"
"Vela, Filemon (D-TX)","$45,300"
"Stivers, Steve (R-OH)","$44,950"
"Grimm, Michael (R-NY)","$44,136"
"Hudson, Richard (R-NC)","$43,850"
"McKinley, David (R-WV)","$43,700"
"Sanford, Mark (R-SC)","$43,550"
"Young, Todd (R-IN)","$43,535"
"Graves, Tom (R-GA)","$43,250"
"Amodei, Mark (R-NV)","$42,600"
"Amash, Justin (R-MI)","$42,250"
"Messer, Luke (R-IN)","$42,250"
"Tsongas, Niki (D-MA)","$42,150"
"Rogers, Mike D (R-AL)","$42,000"
"Noem, Kristi (R-SD)","$41,800"
"Rokita, Todd (R-IN)","$41,800"
"Tipton, Scott (R-CO)","$41,800"
"Webster, Daniel (R-FL)","$41,550"
"Turner, Michael R (R-OH)","$41,429"
"Gibbs, Bob (R-OH)","$41,300"
"Gerlach, Jim (R-PA)","$41,100"
"Hastings, Alcee L (D-FL)","$41,000"
"Veasey, Marc (D-TX)","$40,900"
"Ribble, Reid (R-WI)","$40,800"
"Williams, Roger (R-TX)","$40,750"
"Meng, Grace (D-NY)","$40,650"
"Titus, Dina (D-NV)","$40,600"
"Hinojosa, Ruben (D-TX)","$40,500"
"Foxx, Virginia (R-NC)","$40,150"
"Southerland, Steve (R-FL)","$40,000"
"Walorski, Jackie (R-IN)","$40,000"
"Maloney, Carolyn B (D-NY)","$39,711"
"Davis, Susan (D-CA)","$39,600"
"Black, Diane (R-TN)","$39,000"
"Doggett, Lloyd (D-TX)","$38,850"
"Grisham, Michelle Lujan (D-NM)","$38,609"
"Luetkemeyer, Blaine (R-MO)","$38,350"
"Rogers, Hal (R-KY)","$38,000"
"Speier, Jackie (D-CA)","$37,680"
"Price, David (D-NC)","$37,300"
"Rangel, Charles B (D-NY)","$37,200"
"Smith, Adrian (R-NE)","$37,000"
"King, Steven A (R-IA)","$36,950"
