Candidate,Amount
"Sanders, Bernie (D-VT)","$4,415,959"
"Cruz, Ted (R-TX)","$3,440,645"
"Rubio, Marco (R-FL)","$2,424,487"
"Burr, Richard (R-NC)","$1,316,595"
"Schumer, Charles E (D-NY)","$1,249,015"
"Portman, Rob (R-OH)","$1,216,739"
"Bennet, Michael (D-CO)","$1,155,516"
"Toomey, Pat (R-PA)","$1,152,219"
"Blunt, Roy (R-MO)","$1,084,509"
"Wyden, Ron (D-OR)","$1,052,445"
"Murray, Patty (D-WA)","$931,933"
"Paul, Rand (R-KY)","$884,045"
"Ayotte, Kelly (R-NH)","$776,036"
"Johnson, Ron (R-WI)","$749,903"
"Hatch, Orrin G (R-UT)","$637,068"
"Isakson, Johnny (R-GA)","$633,225"
"Grassley, Chuck (R-IA)","$631,333"
"Scott, Tim (R-SC)","$604,825"
"Kirk, Mark (R-IL)","$599,485"
"Blumenthal, Richard (D-CT)","$455,289"
"Crapo, Mike (R-ID)","$440,671"
"Casey, Bob (D-PA)","$408,746"
"McCain, John (R-AZ)","$395,475"
"Boozman, John (R-AR)","$380,589"
"Stabenow, Debbie (D-MI)","$369,388"
"Thune, John (R-SD)","$343,900"
"Cassidy, Bill (R-LA)","$312,650"
"Moran, Jerry (R-KS)","$255,824"
"Lee, Mike (R-UT)","$249,287"
"Kaine, Tim (D-VA)","$221,163"
"Graham, Lindsey (R-SC)","$203,324"
"McConnell, Mitch (R-KY)","$200,500"
"Brown, Sherrod (D-OH)","$197,824"
"Murkowski, Lisa (R-AK)","$193,050"
"Cornyn, John (R-TX)","$190,528"
"Booker, Cory (D-NJ)","$179,652"
"Heinrich, Martin (D-NM)","$176,895"
"Lankford, James (R-OK)","$161,151"
"Barrasso, John A (R-WY)","$161,150"
"Donnelly, Joe (D-IN)","$158,469"
"Klobuchar, Amy (D-MN)","$131,399"
"Leahy, Patrick (D-VT)","$126,444"
"Murphy, Christopher S (D-CT)","$126,148"
"Heller, Dean (R-NV)","$123,361"
"Schatz, Brian (D-HI)","$121,888"
"Baldwin, Tammy (D-WI)","$121,222"
"Warner, Mark (D-VA)","$120,411"
"Warren, Elizabeth (D-MA)","$115,091"
"Hoeven, John (R-ND)","$110,010"
"Cotton, Tom (R-AR)","$107,125"
"Whitehouse, Sheldon (D-RI)","$103,567"
"Carper, Tom (D-DE)","$97,589"
"Tester, Jon (D-MT)","$96,098"
"Heitkamp, Heidi (D-ND)","$93,294"
"Alexander, Lamar (R-TN)","$89,500"
"Peters, Gary (D-MI)","$88,743"
