Candidate,Amount
"Thornberry, Mac (R-TX)","$389,050"
"Frelinghuysen, Rodney (R-NJ)","$313,100"
"Granger, Kay (R-TX)","$276,500"
"Visclosky, Pete (D-IN)","$240,400"
"Smith, Adam (D-WA)","$229,150"
"Turner, Michael R (R-OH)","$227,200"
"Forbes, Randy (R-VA)","$221,345"
"Hunter, Duncan D (R-CA)","$202,377"
"McSally, Martha (R-AZ)","$190,231"
"Wittman, Rob (R-VA)","$187,800"
"Rogers, Mike D (R-AL)","$173,950"
"Wilson, Joe (R-SC)","$170,350"
"Ryan, Paul (R-WI)","$167,902"
"Aderholt, Robert B (R-AL)","$165,079"
"Ruppersberger, Dutch (D-MD)","$160,810"
"Heck, Joe (R-NV)","$152,955"
"Carter, John (R-TX)","$150,750"
"Peters, Scott (D-CA)","$149,350"
"Rogers, Hal (R-KY)","$149,000"
"Langevin, Jim (D-RI)","$148,400"
"Palazzo, Steven (R-MS)","$139,950"
"Hoyer, Steny H (D-MD)","$133,814"
"Connolly, Gerry (D-VA)","$133,745"
"Beyer, Don (D-VA)","$133,500"
"Calvert, Ken (R-CA)","$128,800"
"Comstock, Barbara (R-VA)","$127,995"
"Courtney, Joe (D-CT)","$127,400"
"Shuster, Bill (R-PA)","$125,050"
"Walorski, Jackie (R-IN)","$124,800"
"Lamborn, Douglas L (R-CO)","$114,000"
"Scalise, Steve (R-LA)","$111,100"
"Byrne, Bradley (R-AL)","$111,050"
"Stefanik, Elise (R-NY)","$108,600"
"Brooks, Mo (R-AL)","$108,183"
"Knight, Steve (R-CA)","$108,150"
"Jolly, David (R-FL)","$106,200"
"McCarthy, Kevin (R-CA)","$105,934"
"Cole, Tom (R-OK)","$105,000"
"Roby, Martha (R-AL)","$101,300"
"Crenshaw, Ander (R-FL)","$100,654"
"Davis, Susan (D-CA)","$98,900"
"LoBiondo, Frank (R-NJ)","$98,500"
"Nunes, Devin (R-CA)","$97,000"
"Kilmer, Derek (D-WA)","$96,927"
"Graves, Sam (R-MO)","$92,500"
"Culberson, John (R-TX)","$92,250"
"Duckworth, Tammy (D-IL)","$92,121"
"Larsen, Rick (D-WA)","$91,300"
"Van Hollen, Chris (D-MD)","$90,045"
"Zinke, Ryan K (R-MT)","$89,453"
"Diaz-Balart, Mario (R-FL)","$89,000"
"Graves, Tom (R-GA)","$87,100"
"Bridenstine, James (R-OK)","$86,000"
"MacArthur, Thomas (R-NJ)","$84,850"
"Cook, Paul (R-CA)","$84,000"
"Aguilar, Pete (D-CA)","$83,808"
"Moulton, Seth (D-MA)","$81,849"
"Tsongas, Niki (D-MA)","$81,025"
"Larson, John B (D-CT)","$79,650"
"Takai, Mark (D-HI)","$78,400"
"Veasey, Marc (D-TX)","$77,950"
"Slaughter, Louise M (D-NY)","$77,525"
"Hartzler, Vicky (R-MO)","$77,500"
"Rooney, Tom (R-FL)","$77,000"
"Womack, Steve (R-AR)","$77,000"
"Gabbard, Tulsi (D-HI)","$76,897"
"Stewart, Chris (R-UT)","$75,700"
"Posey, Bill (R-FL)","$75,175"
"Smith, Lamar (R-TX)","$75,000"
"Miller, Jeff (R-FL)","$74,000"
"McCaul, Michael (R-TX)","$73,750"
"Schiff, Adam (D-CA)","$72,200"
"Tiberi, Pat (R-OH)","$66,950"
"Royce, Ed (R-CA)","$65,900"
"Dold, Bob (R-IL)","$65,360"
"Scott, Austin (R-GA)","$65,100"
"Ryan, Tim (D-OH)","$65,000"
"Sewell, Terri A (D-AL)","$64,200"
"Norcross, Don (D-NJ)","$63,500"
"Coffman, Mike (R-CO)","$62,350"
"Kaptur, Marcy (D-OH)","$61,502"
"Young, Todd (R-IN)","$61,300"
"Price, David (D-NC)","$60,500"
"Wenstrup, Brad (R-OH)","$60,500"
"Graham, Gwen (D-FL)","$59,300"
"Thompson, Bennie G (D-MS)","$59,250"
"McHenry, Patrick (R-NC)","$59,000"
"Cooper, Jim (D-TN)","$58,500"
"Sanchez, Loretta (D-CA)","$57,100"
"Rigell, Scott (R-VA)","$56,950"
"Castro, Joaquin (D-TX)","$56,500"
"Kinzinger, Adam (R-IL)","$56,127"
"Harper, Gregg (R-MS)","$56,000"
"McCollum, Betty (D-MN)","$54,500"
"Conaway, Mike (R-TX)","$54,000"
