Candidate,Amount
"Cruz, Ted (R-TX)","$2,542,042"
"Rubio, Marco (R-FL)","$1,344,676"
"Murkowski, Lisa (R-AK)","$1,252,298"
"Portman, Rob (R-OH)","$961,851"
"Toomey, Pat (R-PA)","$771,972"
"Burr, Richard (R-NC)","$731,232"
"Johnson, Ron (R-WI)","$637,305"
"Ayotte, Kelly (R-NH)","$602,442"
"Blunt, Roy (R-MO)","$600,953"
"Hoeven, John (R-ND)","$497,153"
"Lankford, James (R-OK)","$486,580"
"Sanders, Bernie (D-VT)","$484,796"
"McCain, John (R-AZ)","$453,190"
"Scott, Tim (R-SC)","$424,804"
"Bennet, Michael (D-CO)","$353,058"
"Grassley, Chuck (R-IA)","$340,100"
"Schumer, Charles E (D-NY)","$326,732"
"Thune, John (R-SD)","$324,281"
"Isakson, Johnny (R-GA)","$313,500"
"Paul, Rand (R-KY)","$284,851"
"Lee, Mike (R-UT)","$283,105"
"Kirk, Mark (R-IL)","$282,486"
"Boozman, John (R-AR)","$248,700"
"Murray, Patty (D-WA)","$219,535"
"Wyden, Ron (D-OR)","$208,622"
"Moran, Jerry (R-KS)","$207,100"
"Crapo, Mike (R-ID)","$200,780"
"McConnell, Mitch (R-KY)","$182,825"
"Heitkamp, Heidi (D-ND)","$156,681"
"Hatch, Orrin G (R-UT)","$156,600"
"Heinrich, Martin (D-NM)","$154,073"
"Kaine, Tim (D-VA)","$144,845"
"Barrasso, John A (R-WY)","$144,750"
"Cassidy, Bill (R-LA)","$128,950"
"Graham, Lindsey (R-SC)","$108,231"
"Blumenthal, Richard (D-CT)","$96,482"
"Casey, Bob (D-PA)","$93,851"
"Cornyn, John (R-TX)","$93,350"
"Shelby, Richard C (R-AL)","$91,550"
"Schatz, Brian (D-HI)","$89,918"
"Fischer, Deb (R-NE)","$89,100"
"Heller, Dean (R-NV)","$82,250"
"Cochran, Thad (R-MS)","$70,900"
"Feinstein, Dianne (D-CA)","$70,000"
"Gardner, Cory (R-CO)","$65,400"
"Inhofe, James M (R-OK)","$64,500"
"Sullivan, Dan (R-AK)","$62,050"
"Booker, Cory (D-NJ)","$61,066"
"Cantwell, Maria (D-WA)","$59,740"
"Stabenow, Debbie (D-MI)","$59,600"
"Flake, Jeff (R-AZ)","$56,440"
"Warner, Mark (D-VA)","$46,200"
"Daines, Steven (R-MT)","$42,087"
"Ernst, Joni (R-IA)","$40,700"
"Brown, Sherrod (D-OH)","$38,695"
"Manchin, Joe (D-WV)","$38,000"
"Tillis, Thom (R-NC)","$34,600"
"Risch, James E (R-ID)","$32,700"
"Gillibrand, Kirsten (D-NY)","$31,435"
"Udall, Tom (D-NM)","$31,251"
"Perdue, David (R-GA)","$30,050"
"Sasse, Ben (R-NE)","$28,800"
"Wicker, Roger (R-MS)","$28,200"
"Whitehouse, Sheldon (D-RI)","$27,230"
"Klobuchar, Amy (D-MN)","$26,420"
"King, Angus (I-ME)","$25,350"
"Tester, Jon (D-MT)","$24,940"
"Donnelly, Joe (D-IN)","$24,750"
"McCaskill, Claire (D-MO)","$24,569"
"Carper, Tom (D-DE)","$24,319"
"Baldwin, Tammy (D-WI)","$24,010"
"Enzi, Mike (R-WY)","$22,500"
"Murphy, Christopher S (D-CT)","$22,275"
"Hirono, Mazie K (D-HI)","$22,250"
"Peters, Gary (D-MI)","$21,501"
"Cotton, Tom (R-AR)","$21,500"
"Markey, Ed (D-MA)","$17,906"
"Leahy, Patrick (D-VT)","$17,410"
"Franken, Al (D-MN)","$16,726"
"Roberts, Pat (R-KS)","$15,500"
"Menendez, Robert (D-NJ)","$15,404"
"Cardin, Ben (D-MD)","$15,000"
"Vitter, David (R-LA)","$14,500"
"Durbin, Dick (D-IL)","$14,174"
"Capito, Shelley Moore (R-WV)","$14,000"
"Alexander, Lamar (R-TN)","$12,700"
"Rounds, Mike (R-SD)","$11,800"
"Warren, Elizabeth (D-MA)","$10,557"
"Merkley, Jeff (D-OR)","$9,776"
"Coons, Chris (D-DE)","$9,751"
"Collins, Susan M (R-ME)","$8,500"
"Corker, Bob (R-TN)","$7,514"
"Sessions, Jeff (R-AL)","$7,200"
"Shaheen, Jeanne (D-NH)","$6,589"
"Nelson, Bill (D-FL)","$6,300"
"Reed, Jack (D-RI)","$6,000"
"Mikulski, Barbara A (D-MD)","-$2,900"
"Reid, Harry (D-NV)","-$10,575"
"Coats, Dan (R-IN)","-$19,300"
"Ryan, Paul (R-WI)","$1,277,985"
"Young, Todd (R-IN)","$792,691"
"McCarthy, Kevin (R-CA)","$629,800"
"Shimkus, John (R-IL)","$557,683"
"Brady, Kevin (R-TX)","$544,700"
"Boustany, Charles Jr (R-LA)","$521,737"
"Scalise, Steve (R-LA)","$519,750"
"Upton, Fred (R-MI)","$506,563"
"Heck, Joe (R-NV)","$482,098"
"Hurd, Will (R-TX)","$454,839"
"Shuster, Bill (R-PA)","$424,362"
"Boehner, John (R-OH)","$403,250"
"Cramer, Kevin (R-ND)","$353,900"
"Barton, Joe (R-TX)","$340,282"
"Pearce, Steve (R-NM)","$336,414"
"Walden, Greg (R-OR)","$335,450"
"Olson, Pete (R-TX)","$312,600"
"Mullin, Markwayne (R-OK)","$304,350"
"Johnson, Bill (R-OH)","$297,750"
"Flores, Bill (R-TX)","$281,609"
"Hoyer, Steny H (D-MD)","$272,450"
"Zinke, Ryan K (R-MT)","$269,864"
"Graves, Garret (R-LA)","$254,599"
"Denham, Jeff (R-CA)","$252,699"
"Coffman, Mike (R-CO)","$252,144"
"Bishop, Rob (R-UT)","$250,766"
"Pompeo, Mike (R-KS)","$249,700"
"Rodgers, Cathy McMorris (R-WA)","$246,870"
"Reed, Tom (R-NY)","$227,700"
"Tiberi, Pat (R-OH)","$221,100"
"Fleming, John (R-LA)","$213,680"
"McKinley, David (R-WV)","$211,150"
"Tipton, Scott (R-CO)","$210,550"
"Green, Gene (D-TX)","$209,700"
"Simpson, Mike (R-ID)","$194,696"
"Kinzinger, Adam (R-IL)","$186,000"
"McCaul, Michael (R-TX)","$181,900"
"Conaway, Mike (R-TX)","$181,507"
"Cuellar, Henry (D-TX)","$181,502"
"Stivers, Steve (R-OH)","$180,375"
"Nunes, Devin (R-CA)","$179,500"
"Sessions, Pete (R-TX)","$179,050"
"Murphy, Tim (R-PA)","$172,700"
"Cole, Tom (R-OK)","$170,300"
"Kelly, Mike (R-PA)","$163,812"
"Barr, Andy (R-KY)","$163,650"
"Hudson, Richard (R-NC)","$161,550"
"Costa, Jim (D-CA)","$161,325"
"Noem, Kristi (R-SD)","$159,825"
"Meehan, Patrick (R-PA)","$155,870"
"Clyburn, James E (D-SC)","$155,030"
"McSally, Martha (R-AZ)","$153,264"
"Calvert, Ken (R-CA)","$152,300"
"Young, Don (R-AK)","$149,150"
"Williams, Roger (R-TX)","$148,850"
"Rothfus, Keith J (R-PA)","$148,500"
"Jenkins, Lynn (R-KS)","$147,400"
"Yoder, Kevin (R-KS)","$146,975"
"Paulsen, Erik (R-MN)","$146,909"
"Walberg, Tim (R-MI)","$145,775"
"Lujan, Ben Ray (D-NM)","$144,500"
"Culberson, John (R-TX)","$143,075"
"Thompson, Glenn (R-PA)","$142,950"
"Valadao, David (R-CA)","$142,050"
"Whitfield, Ed (R-KY)","$137,600"
"Stewart, Chris (R-UT)","$136,106"
"Thornberry, Mac (R-TX)","$135,400"
"Dold, Bob (R-IL)","$134,200"
"Latta, Robert E (R-OH)","$132,250"
"Comstock, Barbara (R-VA)","$131,825"
"Griffith, Morgan (R-VA)","$131,668"
"Davis, Rodney (R-IL)","$131,300"
"Jenkins, Evan (R-WV)","$128,300"
"LaHood, Darin (R-IL)","$128,250"
"Katko, John (R-NY)","$124,650"
"Rogers, Hal (R-KY)","$124,200"
"Blackburn, Marsha (R-TN)","$124,100"
"Schrader, Kurt (D-OR)","$123,200"
"Smith, Lamar (R-TX)","$121,650"
"Guthrie, Brett (R-KY)","$121,200"
"Bost, Mike (R-IL)","$120,250"
"Russell, Steven (R-OK)","$120,225"
"Harper, Gregg (R-MS)","$119,550"
"Messer, Luke (R-IN)","$119,550"
"Doyle, Mike (D-PA)","$119,500"
"Richmond, Cedric (D-LA)","$119,150"
"Collins, Chris (R-NY)","$119,055"
"Holding, George (R-NC)","$115,582"
"Long, Billy (R-MO)","$113,500"
"Renacci, Jim (R-OH)","$113,243"
"Sinema, Kyrsten (D-AZ)","$113,049"
"McHenry, Patrick (R-NC)","$113,000"
"Royce, Ed (R-CA)","$112,050"
"Murphy, Patrick (D-FL)","$108,128"
"Curbelo, Carlos (R-FL)","$107,900"
"Lamborn, Douglas L (R-CO)","$107,877"
"Bustos, Cheri (D-IL)","$107,330"
"Frelinghuysen, Rodney (R-NJ)","$106,689"
"Walters, Mimi (R-CA)","$106,200"
"Costello, Ryan (R-PA)","$104,750"
"MacArthur, Thomas (R-NJ)","$104,000"
"Joyce, David P (R-OH)","$103,500"
"Zeldin, Lee (R-NY)","$103,225"
"Marchant, Kenny (R-TX)","$102,950"
"Pallone, Frank Jr (D-NJ)","$102,619"
"Granger, Kay (R-TX)","$102,250"
"Stutzman, Marlin (R-IN)","$101,130"
"Peterson, Collin (D-MN)","$98,125"
"Wagner, Ann L (R-MO)","$96,650"
"Farenthold, Blake (R-TX)","$96,450"
"Brooks, Susan (R-IN)","$96,423"
"Roskam, Peter (R-IL)","$95,055"
"Smith, Jason (R-MO)","$93,550"
"Mooney, Alex (R-WV)","$91,726"
"Love, Mia (R-UT)","$91,693"
"Stefanik, Elise (R-NY)","$90,675"
"Ellmers, Renee (R-NC)","$90,000"
"Issa, Darrell (R-CA)","$89,875"
"Young, David (R-IA)","$89,600"
"Gibbs, Bob (R-OH)","$89,450"
"Bucshon, Larry (R-IN)","$89,449"
"Duckworth, Tammy (D-IL)","$89,300"
"Weber, Randy (R-TX)","$88,950"
"Van Hollen, Chris (D-MD)","$88,791"
"Newhouse, Dan (R-WA)","$87,450"
"Fleischmann, Chuck (R-TN)","$87,100"
"Dent, Charlie (R-PA)","$86,400"
"Poliquin, Bruce (R-ME)","$85,950"
"Palazzo, Steven (R-MS)","$85,700"
"Hardy, Cresent (R-NV)","$85,600"
"DeSantis, Ron (R-FL)","$85,368"
"Thompson, Bennie G (D-MS)","$85,000"
"Crowley, Joseph (D-NY)","$84,785"
"Buck, Ken (R-CO)","$84,500"
"Chaffetz, Jason (R-UT)","$83,400"
"Veasey, Marc (D-TX)","$83,000"
"Kaptur, Marcy (D-OH)","$82,950"
"Poe, Ted (R-TX)","$82,350"
"Lucas, Frank D (R-OK)","$82,050"
"Jolly, David (R-FL)","$81,950"
"Perry, Scott (R-PA)","$81,500"
"Peters, Scott (D-CA)","$80,695"
"Hensarling, Jeb (R-TX)","$79,700"
"McNerney, Jerry (D-CA)","$78,700"
"Norcross, Don (D-NJ)","$78,346"
"Gosar, Paul (R-AZ)","$78,050"
"Rush, Bobby L (D-IL)","$77,900"
"Knight, Steve (R-CA)","$76,350"
"Duncan, Jeff (R-SC)","$75,600"
"Ashford, Brad (D-NE)","$74,700"
"Marino, Tom (R-PA)","$74,600"
"Rice, Tom (R-SC)","$74,550"
"Visclosky, Pete (D-IN)","$73,300"
"Cardenas, Tony (D-CA)","$72,050"
"Kennedy, Joe III (D-MA)","$71,800"
"Byrne, Bradley (R-AL)","$71,550"
"Welch, Peter (D-VT)","$71,315"
"Duffy, Sean P (R-WI)","$70,545"
"Westerman, Bruce (R-AR)","$70,050"
"Kind, Ron (D-WI)","$69,600"
"Goodlatte, Bob (R-VA)","$69,450"
"Bilirakis, Gus (R-FL)","$69,200"
"Walorski, Jackie (R-IN)","$68,500"
"Babin, Brian (R-TX)","$67,950"
"Dingell, Debbie (D-MI)","$67,650"
"Ratcliffe, John Lee (R-TX)","$66,750"
"Kelly, Trent (R-MS)","$66,600"
"Aderholt, Robert B (R-AL)","$64,850"
"Larsen, Rick (D-WA)","$64,550"
"Vela, Filemon (D-TX)","$64,400"
"LoBiondo, Frank (R-NJ)","$64,300"
"Bishop, Mike (R-MI)","$64,150"
"Black, Diane (R-TN)","$63,750"
"Barletta, Lou (R-PA)","$63,100"
"Grisham, Michelle Lujan (D-NM)","$61,800"
"Rokita, Todd (R-IN)","$61,799"
"Carter, John (R-TX)","$61,400"
"Matsui, Doris O (D-CA)","$61,400"
"Loebsack, David (D-IA)","$60,850"
"Rogers, Mike D (R-AL)","$59,700"
"Burgess, Michael (R-TX)","$59,600"
