Candidate,Amount
"Hatch, Orrin G (R-UT)","$1,504,097"
"Brown, Scott (R-MA)","$1,452,726"
"Menendez, Robert (D-NJ)","$1,306,272"
"Nelson, Bill (D-FL)","$1,050,257"
"Brown, Sherrod (D-OH)","$972,383"
"Casey, Bob (D-PA)","$957,325"
"McConnell, Mitch (R-KY)","$941,275"
"Corker, Bob (R-TN)","$787,826"
"McCaskill, Claire (D-MO)","$769,189"
"Baucus, Max (D-MT)","$680,585"
"Cardin, Ben (D-MD)","$669,850"
"Stabenow, Debbie (D-MI)","$663,389"
"Barrasso, John A (R-WY)","$658,676"
"Gillibrand, Kirsten (D-NY)","$651,176"
"Tester, Jon (D-MT)","$552,888"
"Manchin, Joe (D-WV)","$463,948"
"Heller, Dean (R-NV)","$435,779"
"Klobuchar, Amy (D-MN)","$417,874"
"Carper, Tom (D-DE)","$390,767"
"Cantwell, Maria (D-WA)","$350,221"
"Feinstein, Dianne (D-CA)","$337,404"
"Whitehouse, Sheldon (D-RI)","$293,232"
"Snowe, Olympia (R-ME)","$282,613"
"Harkin, Tom (D-IA)","$279,300"
"Nelson, Ben (D-NE)","$256,558"
"Cornyn, John (R-TX)","$254,150"
"Hagan, Kay R (D-NC)","$234,449"
"Toomey, Pat (R-PA)","$231,216"
"Wicker, Roger (R-MS)","$201,433"
"Roberts, Pat (R-KS)","$199,250"
"Lugar, Richard G (R-IN)","$193,763"
"Warner, Mark (D-VA)","$186,535"
"Durbin, Dick (D-IL)","$151,461"
"Reid, Harry (D-NV)","$132,550"
"Chambliss, Saxby (R-GA)","$128,300"
"Enzi, Mike (R-WY)","$127,750"
"Landrieu, Mary L (D-LA)","$123,049"
"Rubio, Marco (R-FL)","$122,975"
"Schumer, Charles E (D-NY)","$121,750"
"Bennet, Michael (D-CO)","$120,499"
"Wyden, Ron (D-OR)","$119,676"
"Udall, Mark (D-CO)","$119,650"
"Thune, John (R-SD)","$115,256"
"Portman, Rob (R-OH)","$114,600"
"Coons, Chris (D-DE)","$101,250"
"Vitter, David (R-LA)","$99,550"
"Blunt, Roy (R-MO)","$97,829"
"Franken, Al (D-MN)","$97,416"
"Merkley, Jeff (D-OR)","$89,150"
"Sanders, Bernie (I-VT)","$88,442"
"Graham, Lindsey (R-SC)","$84,229"
"Ayotte, Kelly (R-NH)","$82,500"
"Collins, Susan M (R-ME)","$81,323"
"Murray, Patty (D-WA)","$75,600"
"Kirk, Mark (R-IL)","$73,500"
"Shaheen, Jeanne (D-NH)","$73,300"
"Kerry, John (D-MA)","$72,500"
"Crapo, Mike (R-ID)","$68,794"
"Isakson, Johnny (R-GA)","$67,500"
"Blumenthal, Richard (D-CT)","$62,250"
"Johnson, Ron (R-WI)","$60,800"
"Johnson, Tim (D-SD)","$55,500"
"Alexander, Lamar (R-TN)","$53,150"
"Mikulski, Barbara A (D-MD)","$52,100"
"Burr, Richard (R-NC)","$45,279"
"Coats, Dan (R-IN)","$43,250"
"Paul, Rand (R-KY)","$42,616"
"Begich, Mark (D-AK)","$42,250"
"Moran, Jerry (R-KS)","$37,750"
"Udall, Tom (D-NM)","$35,959"
"Inhofe, James M (R-OK)","$31,750"
"Lee, Mike (R-UT)","$30,150"
"Grassley, Chuck (R-IA)","$29,000"
"Rockefeller, Jay (D-WV)","$28,900"
"Lautenberg, Frank (D-NJ)","$25,700"
"Murkowski, Lisa (R-AK)","$25,000"
"Boozman, John (R-AR)","$24,550"
"Pryor, Mark (D-AR)","$24,500"
"Shelby, Richard C (R-AL)","$23,250"
"Hoeven, John (R-ND)","$22,310"
"Johanns, Mike (R-NE)","$19,000"
"Sessions, Jeff (R-AL)","$18,950"
"Reed, Jack (D-RI)","$17,000"
"Cochran, Thad (R-MS)","$12,500"
"Risch, James E (R-ID)","$11,500"
"Leahy, Patrick (D-VT)","$9,950"
"Inouye, Daniel K (D-HI)","$9,500"
"Levin, Carl (D-MI)","$8,500"
"DeMint, Jim (R-SC)","$7,000"
"Coburn, Tom (R-OK)","$4,000"
"Hutchison, Kay Bailey (R-TX)","$2,500"
"Boxer, Barbara (D-CA)",$750
"Webb, Jim (D-VA)",$250
"Lieberman, Joe (I-CT)","-$1,000"
"Kyl, Jon (R-AZ)","-$1,200"
"Bingaman, Jeff (D-NM)","-$2,000"
"McCain, John (R-AZ)","-$4,300"
"Conrad, Kent (D-ND)","-$35,000"
"Boehner, John (R-OH)","$1,328,812"
"Paul, Ron (R)","$1,165,104"
"Boustany, Charles Jr (R-LA)","$986,250"
"Camp, Dave (R-MI)","$924,529"
"Upton, Fred (R-MI)","$822,815"
"Berkley, Shelley (D-NV)","$785,176"
"Price, Tom (R-GA)","$769,356"
"Cantor, Eric (R-VA)","$763,060"
"Pitts, Joe (R-PA)","$663,183"
"Pallone, Frank Jr (D-NJ)","$638,761"
"McCarthy, Kevin (R-CA)","$628,778"
"Schwartz, Allyson (D-PA)","$612,268"
"Hayworth, Nan (R-NY)","$607,336"
"Burgess, Michael (R-TX)","$566,388"
"Hoyer, Steny H (D-MD)","$554,196"
"Murphy, Christopher S (D-CT)","$542,128"
"Gingrey, Phil (R-GA)","$531,750"
"Matheson, Jim (D-UT)","$503,847"
"Paulsen, Erik (R-MN)","$498,725"
"Cassidy, Bill (R-LA)","$497,941"
"Black, Diane (R-TN)","$490,380"
"Blackburn, Marsha (R-TN)","$469,751"
"Buchanan, Vernon (R-FL)","$451,745"
"Schock, Aaron (R-IL)","$448,870"
"Harris, Andy (R-MD)","$444,763"
"Heck, Joe (R-NV)","$444,496"
