Candidate,Amount
"Kirk, Mark (R-IL)","$3,502,436"
"Blunt, Roy (R-MO)","$2,194,264"
"Cantor, Eric (R-VA)","$1,734,767"
"Murphy, Scott (D-NY)","$1,367,706"
"Frank, Barney (D-MA)","$1,354,964"
"Boehner, John (R-OH)","$1,340,081"
"Himes, Jim (D-CT)","$1,213,355"
"Sestak, Joe (D-PA)","$1,038,480"
"Kanjorski, Paul E (D-PA)","$973,524"
"Bean, Melissa (D-IL)","$944,214"
"Castle, Michael N (R-DE)","$912,385"
"Maloney, Carolyn B (D-NY)","$909,304"
"Bachus, Spencer (R-AL)","$882,850"
"Klein, Ron (D-FL)","$839,150"
"Hensarling, Jeb (R-TX)","$833,560"
"Ryan, Paul (R-WI)","$786,827"
"Meek, Kendrick B (D-FL)","$778,287"
"Royce, Ed (R-CA)","$776,768"
"Tiberi, Pat (R-OH)","$745,596"
"Hoyer, Steny H (D-MD)","$739,390"
"Garrett, Scott (R-NJ)","$707,745"
"Hodes, Paul W (D-NH)","$697,895"
"Adler, John H (D-NJ)","$690,468"
"Minnick, Walt (D-ID)","$688,102"
"Paulsen, Erik (R-MN)","$686,727"
"Bachmann, Michele (R-MN)","$681,052"
"Crowley, Joseph (D-NY)","$679,375"
"Capuano, Michael E (D-MA)","$664,850"
"Camp, Dave (R-MI)","$662,910"
"Neal, Richard E (D-MA)","$652,700"
"Maffei, Dan (D-NY)","$646,215"
"Rangel, Charles B (D-NY)","$622,242"
"Israel, Steve (D-NY)","$619,492"
"Pomeroy, Earl (D-ND)","$607,831"
"McCarthy, Kevin (R-CA)","$605,163"
"Moran, Jerry (R-KS)","$600,610"
"Lowey, Nita M (D-NY)","$568,000"
"McMahon, Michael E (D-NY)","$566,420"
"Sessions, Pete (R-TX)","$559,207"
"Perlmutter, Ed (D-CO)","$555,518"
"Boozman, John (R-AR)","$551,259"
"Foster, Bill (D-IL)","$544,683"
"Biggert, Judy (R-IL)","$543,983"
"Peters, Gary (D-MI)","$531,623"
"Reichert, Dave (R-WA)","$531,036"
"Clyburn, James E (D-SC)","$527,114"
"Kosmas, Suzanne (D-FL)","$510,902"
"Larson, John B (D-CT)","$501,317"
