Candidate,Amount
"Gillibrand, Kirsten (D-NY)","$1,057,438"
"McCaskill, Claire (D-MO)","$952,639"
"Brown, Scott (R-MA)","$894,341"
"Brown, Sherrod (D-OH)","$574,379"
"Hatch, Orrin G (R-UT)","$511,031"
"Tester, Jon (D-MT)","$510,040"
"Feinstein, Dianne (D-CA)","$501,555"
"Menendez, Robert (D-NJ)","$487,832"
"Nelson, Bill (D-FL)","$466,632"
"Cantwell, Maria (D-WA)","$441,571"
"Klobuchar, Amy (D-MN)","$436,757"
"McConnell, Mitch (R-KY)","$405,725"
"Whitehouse, Sheldon (D-RI)","$375,123"
"Heller, Dean (R-NV)","$357,450"
"Casey, Bob (D-PA)","$330,480"
"Corker, Bob (R-TN)","$309,903"
"Cardin, Ben (D-MD)","$309,034"
"Stabenow, Debbie (D-MI)","$262,505"
"Snowe, Olympia (R-ME)","$237,612"
"Carper, Tom (D-DE)","$209,280"
"Wicker, Roger (R-MS)","$188,450"
"Franken, Al (D-MN)","$187,689"
"Barrasso, John A (R-WY)","$182,200"
"Hagan, Kay R (D-NC)","$164,928"
"Udall, Mark (D-CO)","$161,275"
"Warner, Mark (D-VA)","$149,963"
"Manchin, Joe (D-WV)","$140,216"
"Rockefeller, Jay (D-WV)","$125,000"
"Rubio, Marco (R-FL)","$116,038"
"Ayotte, Kelly (R-NH)","$110,145"
"Lugar, Richard G (R-IN)","$106,300"
"Landrieu, Mary L (D-LA)","$103,300"
"Pryor, Mark (D-AR)","$96,550"
"Thune, John (R-SD)","$92,250"
"Toomey, Pat (R-PA)","$89,914"
"Begich, Mark (D-AK)","$89,200"
"Baucus, Max (D-MT)","$88,172"
"Nelson, Ben (D-NE)","$82,850"
"Graham, Lindsey (R-SC)","$80,700"
"Sanders, Bernie (I-VT)","$75,603"
"Cornyn, John (R-TX)","$74,000"
"Kerry, John (D-MA)","$72,088"
"Chambliss, Saxby (R-GA)","$71,000"
"Reid, Harry (D-NV)","$70,700"
"Coons, Chris (D-DE)","$69,500"
"Blunt, Roy (R-MO)","$69,000"
"Udall, Tom (D-NM)","$66,513"
"Collins, Susan M (R-ME)","$55,250"
"Moran, Jerry (R-KS)","$54,712"
"Durbin, Dick (D-IL)","$48,725"
"Bennet, Michael (D-CO)","$47,100"
"Wyden, Ron (D-OR)","$46,493"
"Portman, Rob (R-OH)","$42,500"
"DeMint, Jim (R-SC)","$41,250"
"Blumenthal, Richard (D-CT)","$41,000"
"Boxer, Barbara (D-CA)","$39,500"
"Merkley, Jeff (D-OR)","$39,175"
"Shaheen, Jeanne (D-NH)","$36,932"
"Schumer, Charles E (D-NY)","$36,500"
"Lee, Mike (R-UT)","$35,500"
"Grassley, Chuck (R-IA)","$34,000"
"Johanns, Mike (R-NE)","$33,000"
"Vitter, David (R-LA)","$31,450"
"Murray, Patty (D-WA)","$31,000"
"Murkowski, Lisa (R-AK)","$29,550"
"Leahy, Patrick (D-VT)","$26,500"
"Roberts, Pat (R-KS)","$22,706"
"Inhofe, James M (R-OK)","$21,100"
"Isakson, Johnny (R-GA)","$20,500"
"Ensign, John (R-NV)","$20,000"
"Cochran, Thad (R-MS)","$19,600"
"Lautenberg, Frank (D-NJ)","$18,500"
"Johnson, Tim (D-SD)","$18,250"
"Inouye, Daniel K (D-HI)","$17,500"
"Hoeven, John (R-ND)","$17,410"
"Boozman, John (R-AR)","$12,900"
"Paul, Rand (R-KY)","$12,450"
"Johnson, Ron (R-WI)","$11,650"
"Mikulski, Barbara A (D-MD)","$11,250"
"Kirk, Mark (R-IL)","$11,175"
"Coats, Dan (R-IN)","$10,800"
"Crapo, Mike (R-ID)","$9,750"
"Shelby, Richard C (R-AL)","$9,500"
"Harkin, Tom (D-IA)","$9,400"
"Risch, James E (R-ID)","$9,250"
"Alexander, Lamar (R-TN)","$8,000"
"Enzi, Mike (R-WY)","$8,000"
"Reed, Jack (D-RI)","$6,500"
"Sessions, Jeff (R-AL)","$3,500"
"Burr, Richard (R-NC)","$2,500"
"Levin, Carl (D-MI)","$1,000"
"Lieberman, Joe (I-CT)",$600
"Webb, Jim (D-VA)","-$2,400"
"Bingaman, Jeff (D-NM)","-$2,650"
"Kyl, Jon (R-AZ)","-$7,100"
"Paul, Ron (R)","$1,083,574"
"Berman, Howard L (D-CA)","$801,860"
"Boehner, John (R-OH)","$638,956"
"Walden, Greg (R-OR)","$482,586"
"Baldwin, Tammy (D-WI)","$420,070"
"Murphy, Christopher S (D-CT)","$413,002"
"Cantor, Eric (R-VA)","$385,865"
"Upton, Fred (R-MI)","$368,001"
"Eshoo, Anna (D-CA)","$359,501"
"Waxman, Henry (D-CA)","$330,731"
"Goodlatte, Bob (R-VA)","$294,993"
"McCarthy, Kevin (R-CA)","$291,650"
"Terry, Lee (R-NE)","$291,380"
"Berkley, Shelley (D-NV)","$291,320"
"Smith, Lamar (R-TX)","$285,550"
"Bono Mack, Mary (R-CA)","$270,700"
"Hoyer, Steny H (D-MD)","$241,761"
"Lofgren, Zoe (D-CA)","$239,101"
"DelBene, Suzan (D-WA)","$233,600"
"Capps, Lois (D-CA)","$233,325"
"Heinrich, Martin (D-NM)","$227,810"
"Rogers, Mike (R-MI)","$227,600"
"Clyburn, James E (D-SC)","$219,000"
"Conyers, John Jr (D-MI)","$215,850"
"Lungren, Dan (R-CA)","$208,600"
"Blackburn, Marsha (R-TN)","$203,450"
"Issa, Darrell (R-CA)","$196,286"
"Flake, Jeff (R-AZ)","$194,900"
"Bilbray, Brian P (R-CA)","$194,400"
"Pelosi, Nancy (D-CA)","$186,800"
"Barrow, John (D-GA)","$184,870"
"Connolly, Gerry (D-VA)","$183,629"
"Bass, Charles (R-NH)","$182,150"
"West, Allen (R-FL)","$173,344"
"Matsui, Doris O (D-CA)","$169,693"
"Ryan, Paul (R-WI)","$167,171"
"Israel, Steve (D-NY)","$164,200"
"Gardner, Cory (R-CO)","$163,870"
"Hirono, Mazie K (D-HI)","$160,153"
"Schultz, Debbie Wasserman (D-FL)","$158,750"
"McNerney, Jerry (D-CA)","$158,743"
"Bachmann, Michele (R-MN)","$158,536"
"McCaul, Michael (R-TX)","$158,438"
"Shimkus, John (R-IL)","$157,600"
"Matheson, Jim (D-UT)","$156,650"
"Rodgers, Cathy McMorris (R-WA)","$156,312"
