Candidate,Amount
"Kirk, Mark (R-IL)","$1,079,573"
"Blunt, Roy (R-MO)","$929,043"
"Hoyer, Steny H (D-MD)","$745,660"
"Pallone, Frank Jr (D-NJ)","$727,582"
"Camp, Dave (R-MI)","$630,940"
"Meek, Kendrick B (D-FL)","$612,009"
"Cantor, Eric (R-VA)","$604,300"
"Price, Tom (R-GA)","$589,680"
"Boehner, John (R-OH)","$588,315"
"Schwartz, Allyson (D-PA)","$519,722"
"Burgess, Michael (R-TX)","$485,912"
"Sestak, Joe (D-PA)","$477,751"
"Waxman, Henry (D-CA)","$472,600"
"Ross, Mike (D-AR)","$468,209"
"Sessions, Pete (R-TX)","$465,001"
"Pomeroy, Earl (D-ND)","$446,676"
"Pelosi, Nancy (D-CA)","$438,300"
"Becerra, Xavier (D-CA)","$438,177"
"Gingrey, Phil (R-GA)","$429,215"
"Eshoo, Anna (D-CA)","$428,266"
"Boustany, Charles Jr (R-LA)","$426,878"
"Altmire, Jason (D-PA)","$416,767"
"Matheson, Jim (D-UT)","$415,648"
"Clyburn, James E (D-SC)","$407,321"
"Ryan, Paul (R-WI)","$406,683"
"Shimkus, John (R-IL)","$404,883"
"Tiberi, Pat (R-OH)","$395,901"
"Neal, Richard E (D-MA)","$378,499"
"Rogers, Mike (R-MI)","$376,799"
"Berkley, Shelley (D-NV)","$373,042"
"Whitfield, Ed (R-KY)","$372,450"
"Adler, John H (D-NJ)","$369,990"
"Barton, Joe (R-TX)","$354,150"
"Blackburn, Marsha (R-TN)","$343,781"
"Fleming, John (R-LA)","$339,992"
"Murphy, Christopher S (D-CT)","$339,888"
"Upton, Fred (R-MI)","$334,800"
"Space, Zack (D-OH)","$333,320"
"Rangel, Charles B (D-NY)","$329,225"
"Larson, John B (D-CT)","$326,247"
"Levin, Sander (D-MI)","$326,160"
"Thompson, Mike (D-CA)","$323,940"
"Murphy, Tim (R-PA)","$320,280"
"Dingell, John D (D-MI)","$317,850"
"Kind, Ron (D-WI)","$313,068"
"Stark, Pete (D-CA)","$311,701"
"Capuano, Michael E (D-MA)","$311,451"
"Castle, Michael N (R-DE)","$311,375"
"Cassidy, Bill (R-LA)","$307,515"
"Kagen, Steve (D-WI)","$303,923"
"Boozman, John (R-AR)","$302,314"
"Moran, Jerry (R-KS)","$293,651"
"Dent, Charlie (R-PA)","$293,350"
"Murphy, Patrick J (D-PA)","$285,200"
"Towns, Edolphus (D-NY)","$282,225"
"Peters, Gary (D-MI)","$277,495"
"McCarthy, Kevin (R-CA)","$268,150"
"Gerlach, Jim (R-PA)","$266,652"
"Davis, Geoff (R-KY)","$264,150"
"Klein, Ron (D-FL)","$263,364"
"Barrow, John (D-GA)","$262,577"
"Bachmann, Michele (R-MN)","$259,445"
"Schock, Aaron (R-IL)","$258,765"
"Crowley, Joseph (D-NY)","$254,845"
