Candidate,Amount
"Brown, Scott (R-MA)","$5,791,586"
"Gillibrand, Kirsten (D-NY)","$3,328,382"
"Corker, Bob (R-TN)","$2,771,414"
"Hatch, Orrin G (R-UT)","$2,280,428"
"Menendez, Robert (D-NJ)","$2,147,591"
"McConnell, Mitch (R-KY)","$1,989,174"
"Tester, Jon (D-MT)","$1,927,613"
"Nelson, Bill (D-FL)","$1,583,807"
"McCaskill, Claire (D-MO)","$1,489,378"
"Heller, Dean (R-NV)","$1,404,931"
"Brown, Sherrod (D-OH)","$1,249,638"
"Casey, Bob (D-PA)","$1,107,356"
"Stabenow, Debbie (D-MI)","$1,092,291"
"Warner, Mark (D-VA)","$1,074,540"
"Cardin, Ben (D-MD)","$1,066,452"
"Carper, Tom (D-DE)","$926,990"
"Feinstein, Dianne (D-CA)","$802,478"
"Cantwell, Maria (D-WA)","$732,816"
"Snowe, Olympia (R-ME)","$727,680"
"Toomey, Pat (R-PA)","$725,687"
"Johnson, Tim (D-SD)","$697,010"
"Wicker, Roger (R-MS)","$663,990"
"Klobuchar, Amy (D-MN)","$636,356"
"Barrasso, John A (R-WY)","$609,211"
"Nelson, Ben (D-NE)","$598,992"
"Manchin, Joe (D-WV)","$571,699"
"Whitehouse, Sheldon (D-RI)","$547,843"
"Lugar, Richard G (R-IN)","$547,786"
"Baucus, Max (D-MT)","$492,400"
"Rubio, Marco (R-FL)","$448,976"
"Hagan, Kay R (D-NC)","$410,372"
"Graham, Lindsey (R-SC)","$356,805"
"Udall, Mark (D-CO)","$336,902"
"Cornyn, John (R-TX)","$336,410"
"Bennet, Michael (D-CO)","$317,756"
"Thune, John (R-SD)","$293,222"
"Portman, Rob (R-OH)","$274,151"
"Chambliss, Saxby (R-GA)","$273,300"
"Shelby, Richard C (R-AL)","$261,500"
"Landrieu, Mary L (D-LA)","$246,105"
"Schumer, Charles E (D-NY)","$234,400"
"Vitter, David (R-LA)","$233,400"
"Crapo, Mike (R-ID)","$232,710"
"Blunt, Roy (R-MO)","$231,100"
"Coons, Chris (D-DE)","$220,505"
"Durbin, Dick (D-IL)","$215,250"
"Reid, Harry (D-NV)","$198,150"
"Roberts, Pat (R-KS)","$189,266"
"Franken, Al (D-MN)","$177,574"
"Isakson, Johnny (R-GA)","$171,050"
"Kirk, Mark (R-IL)","$156,000"
"Ayotte, Kelly (R-NH)","$144,692"
"Moran, Jerry (R-KS)","$140,650"
"Harkin, Tom (D-IA)","$99,200"
"Johanns, Mike (R-NE)","$98,250"
"Merkley, Jeff (D-OR)","$96,533"
"Begich, Mark (D-AK)","$95,925"
"Inhofe, James M (R-OK)","$85,450"
"Sanders, Bernie (I-VT)","$81,975"
"Blumenthal, Richard (D-CT)","$80,700"
"Kerry, John (D-MA)","$71,260"
"Johnson, Ron (R-WI)","$70,116"
"Enzi, Mike (R-WY)","$64,750"
"Reed, Jack (D-RI)","$64,750"
"Shaheen, Jeanne (D-NH)","$64,639"
"Udall, Tom (D-NM)","$64,274"
"Collins, Susan M (R-ME)","$63,300"
