Candidate,Amount
"Rokita, Todd (R-IN)","$141,900"
"Flores, Bill (R-TX)","$140,750"
"Norcross, Don (D-NJ)","$139,100"
"Gallego, Pete (D-TX)","$136,725"
"Lowey, Nita M (D-NY)","$135,900"
"Kirkpatrick, Ann (D-AZ)","$134,476"
"Holding, George (R-NC)","$132,063"
"Lujan, Ben Ray (D-NM)","$131,178"
"Latta, Robert E (R-OH)","$130,700"
"Marino, Tom (R-PA)","$125,600"
"Brownley, Julia (D-CA)","$123,750"
"Thompson, Glenn (R-PA)","$122,090"
"Griffith, Morgan (R-VA)","$121,550"
"Schwartz, Allyson (D-PA)","$120,999"
"Byrne, Bradley (R-AL)","$120,650"
"Denham, Jeff (R-CA)","$120,499"
"Roe, Phil (R-TN)","$120,336"
"Johnson, Sam (R-TX)","$119,550"
"LoBiondo, Frank (R-NJ)","$118,916"
"McHenry, Patrick (R-NC)","$117,750"
"Veasey, Marc (D-TX)","$117,736"
"Langevin, Jim (D-RI)","$115,629"
"Walz, Tim (D-MN)","$115,200"
"Messer, Luke (R-IN)","$113,675"
"Himes, Jim (D-CT)","$112,350"
"Kilmer, Derek (D-WA)","$111,600"
"Reichert, Dave (R-WA)","$109,050"
"Kline, John (R-MN)","$108,405"
"Valadao, David (R-CA)","$107,950"
"Nunnelee, Alan (R-MS)","$107,900"
"Desjarlais, Scott (R-TN)","$107,000"
"Foster, Bill (D-IL)","$106,350"
"Walberg, Tim (R-MI)","$106,100"
"Castor, Kathy (D-FL)","$104,700"
"Gabbard, Tulsi (D-HI)","$103,010"
"Horsford, Steven (D-NV)","$102,700"
"Vargas, Juan (D-CA)","$102,500"
"Scott, David (D-GA)","$100,750"
"Frelinghuysen, Rodney (R-NJ)","$100,400"
"Rice, Tom (R-SC)","$100,100"
"Salmon, Matt (R-AZ)","$100,000"
"Sherman, Brad (D-CA)","$99,650"
"Smith, Adrian (R-NE)","$99,600"
"Cuellar, Henry (D-TX)","$99,050"
"Heck, Dennis (D-WA)","$98,901"
"Barton, Joe (R-TX)","$98,900"
"Fincher, Steve (R-TN)","$97,350"
"DelBene, Suzan (D-WA)","$97,275"
"Ruppersberger, Dutch (D-MD)","$95,350"
"Perlmutter, Ed (D-CO)","$95,000"
"Carney, John (D-DE)","$94,568"
"Rogers, Mike D (R-AL)","$94,200"
"Sanchez, Loretta (D-CA)","$93,916"
"Cardenas, Tony (D-CA)","$93,300"
"Doggett, Lloyd (D-TX)","$93,250"
"Chaffetz, Jason (R-UT)","$93,164"
"Cummings, Elijah E (D-MD)","$93,000"
"Connolly, Gerry (D-VA)","$92,500"
"Lynch, Stephen F (D-MA)","$92,151"
"Hinojosa, Ruben (D-TX)","$91,200"
"Hudson, Richard (R-NC)","$91,050"
"Scott, Austin (R-GA)","$90,450"
"Stutzman, Marlin (R-IN)","$89,950"
"Hanabusa, Colleen (D-HI)","$89,300"
"Chu, Judy (D-CA)","$89,108"
"Smith, Lamar (R-TX)","$89,100"
"Goodlatte, Bob (R-VA)","$88,550"
"Yarmuth, John A (D-KY)","$88,450"
"Richmond, Cedric (D-LA)","$88,150"
"Tierney, John F (D-MA)","$88,100"
"Fortenberry, Jeff (R-NE)","$87,762"
"Castro, Joaquin (D-TX)","$86,150"
"Graves, Sam (R-MO)","$86,150"
"Adams, Alma (D-NC)","$85,350"
"Broun, Paul (R-GA)","$84,924"
"Rahall, Nick (D-WV)","$84,250"
"McNerney, Jerry (D-CA)","$83,950"
"Wilson, Joe (R-SC)","$82,851"
"Lewis, John (D-GA)","$82,824"
"Jolly, David (R-FL)","$82,800"
"Posey, Bill (R-FL)","$82,750"
"Rogers, Hal (R-KY)","$82,650"
"Rangel, Charles B (D-NY)","$82,600"
