Candidate,Amount
"Rubio, Marco (R-FL)","$10,402,775"
"Cruz, Ted (R-TX)","$6,807,693"
"Schumer, Charles E (D-NY)","$5,404,058"
"Portman, Rob (R-OH)","$4,545,503"
"Toomey, Pat (R-PA)","$4,158,329"
"Bennet, Michael (D-CO)","$3,521,250"
"Johnson, Ron (R-WI)","$3,350,461"
"Ayotte, Kelly (R-NH)","$3,185,010"
"Sanders, Bernie (D-VT)","$2,682,426"
"Burr, Richard (R-NC)","$2,509,854"
"Blunt, Roy (R-MO)","$2,146,937"
"Wyden, Ron (D-OR)","$2,048,265"
"McCain, John (R-AZ)","$2,019,514"
"Kirk, Mark (R-IL)","$1,996,648"
"Crapo, Mike (R-ID)","$1,887,802"
"Scott, Tim (R-SC)","$1,777,486"
"Isakson, Johnny (R-GA)","$1,671,686"
"Shelby, Richard C (R-AL)","$1,663,096"
"Blumenthal, Richard (D-CT)","$1,578,839"
"Grassley, Chuck (R-IA)","$1,525,738"
"Paul, Rand (R-KY)","$1,128,068"
"Murray, Patty (D-WA)","$1,045,190"
"Thune, John (R-SD)","$973,893"
"Boozman, John (R-AR)","$902,432"
"Graham, Lindsey (R-SC)","$888,579"
"Lee, Mike (R-UT)","$835,792"
"Kaine, Tim (D-VA)","$813,917"
"Hatch, Orrin G (R-UT)","$796,000"
"Murkowski, Lisa (R-AK)","$735,578"
"Moran, Jerry (R-KS)","$703,942"
"Brown, Sherrod (D-OH)","$627,670"
"Stabenow, Debbie (D-MI)","$525,950"
"Tester, Jon (D-MT)","$524,942"
"Schatz, Brian (D-HI)","$510,035"
"Booker, Cory (D-NJ)","$477,786"
"Donnelly, Joe (D-IN)","$472,812"
"Lankford, James (R-OK)","$463,397"
"Casey, Bob (D-PA)","$423,057"
"Sasse, Ben (R-NE)","$396,550"
"Warner, Mark (D-VA)","$388,876"
"Hoeven, John (R-ND)","$383,675"
"Heller, Dean (R-NV)","$373,375"
"Heitkamp, Heidi (D-ND)","$348,330"
"Leahy, Patrick (D-VT)","$329,464"
"Cornyn, John (R-TX)","$321,600"
"McConnell, Mitch (R-KY)","$300,812"
"Cotton, Tom (R-AR)","$296,225"
"Gillibrand, Kirsten (D-NY)","$270,145"
"Murphy, Christopher S (D-CT)","$248,316"
"Peters, Gary (D-MI)","$246,248"
"Menendez, Robert (D-NJ)","$234,988"
"Flake, Jeff (R-AZ)","$234,833"
"Carper, Tom (D-DE)","$201,515"
"Cardin, Ben (D-MD)","$201,251"
"Ernst, Joni (R-IA)","$188,907"
"Whitehouse, Sheldon (D-RI)","$174,255"
"Tillis, Thom (R-NC)","$170,750"
"Klobuchar, Amy (D-MN)","$152,672"
"Corker, Bob (R-TN)","$145,348"
"Heinrich, Martin (D-NM)","$143,269"
"Fischer, Deb (R-NE)","$138,955"
"Cassidy, Bill (R-LA)","$138,595"
"Perdue, David (R-GA)","$136,750"
"Coons, Chris (D-DE)","$132,794"
"Baldwin, Tammy (D-WI)","$124,797"
"Hirono, Mazie K (D-HI)","$121,876"
"Warren, Elizabeth (D-MA)","$121,692"
"Nelson, Bill (D-FL)","$112,639"
"McCaskill, Claire (D-MO)","$111,100"
"Gardner, Cory (R-CO)","$107,425"
"Daines, Steven (R-MT)","$105,700"
"Barrasso, John A (R-WY)","$105,385"
"Franken, Al (D-MN)","$104,203"
"Markey, Ed (D-MA)","$103,759"
"Manchin, Joe (D-WV)","$101,901"
"Cantwell, Maria (D-WA)","$96,230"
"Rounds, Mike (R-SD)","$94,700"
"Durbin, Dick (D-IL)","$91,368"
"Roberts, Pat (R-KS)","$83,300"
"Cochran, Thad (R-MS)","$78,300"
"Reed, Jack (D-RI)","$69,251"
"Shaheen, Jeanne (D-NH)","$60,807"
"Merkley, Jeff (D-OR)","$52,099"
