Candidate,Amount
"Reichert, Dave (R-WA)","$257,350"
"Posey, Bill (R-FL)","$255,880"
"DeSantis, Ron (R-FL)","$255,590"
"Shuster, Bill (R-PA)","$253,555"
"Swalwell, Eric (D-CA)","$249,470"
"Gerlach, Jim (R-PA)","$246,999"
"Deutch, Ted (D-FL)","$246,735"
"Walorski, Jackie (R-IN)","$246,666"
"Fleischmann, Chuck (R-TN)","$245,500"
"Smith, Lamar (R-TX)","$240,305"
"Cleaver, Emanuel (D-MO)","$238,450"
"Beutler, Jaime Herrera (R-WA)","$235,550"
"Van Hollen, Chris (D-MD)","$235,350"
"Holding, George (R-NC)","$233,060"
"Pompeo, Mike (R-KS)","$232,350"
"Vargas, Juan (D-CA)","$230,502"
"Schultz, Debbie Wasserman (D-FL)","$229,635"
"Granger, Kay (R-TX)","$226,430"
"Kildee, Dan (D-MI)","$225,900"
"Blackburn, Marsha (R-TN)","$225,526"
"Gallego, Pete (D-TX)","$225,271"
"Eshoo, Anna (D-CA)","$222,950"
"Simpson, Mike (R-ID)","$220,460"
"Cole, Tom (R-OK)","$218,500"
"Goodlatte, Bob (R-VA)","$217,000"
"Gabbard, Tulsi (D-HI)","$215,644"
"Gingrey, Phil (R-GA)","$214,873"
"Kilmer, Derek (D-WA)","$214,050"
"Rice, Tom (R-SC)","$212,213"
"Brownley, Julia (D-CA)","$208,759"
"Graves, Tom (R-GA)","$205,750"
"Rigell, Scott (R-VA)","$204,100"
"Benishek, Dan (R-MI)","$204,000"
"Murphy, Tim (R-PA)","$200,400"
"Quigley, Mike (D-IL)","$195,086"
"Walberg, Tim (R-MI)","$194,640"
"Holt, Rush (D-NJ)","$192,450"
"Roby, Martha (R-AL)","$192,300"
"Guthrie, Brett (R-KY)","$189,850"
"Connolly, Gerry (D-VA)","$187,750"
"Rokita, Todd (R-IN)","$187,748"
"Smith, Jason (R-MO)","$187,202"
"Pallone, Frank Jr (D-NJ)","$185,533"
"Veasey, Marc (D-TX)","$184,725"
"Cicilline, David (D-RI)","$184,000"
"Tipton, Scott (R-CO)","$182,850"
"Forbes, Randy (R-VA)","$182,147"
"Lofgren, Zoe (D-CA)","$181,300"
"DelBene, Suzan (D-WA)","$181,075"
"Dent, Charlie (R-PA)","$181,056"
"Fleming, John (R-LA)","$180,771"
"Cardenas, Tony (D-CA)","$180,202"
"Engel, Eliot L (D-NY)","$179,495"
"Olson, Pete (R-TX)","$178,650"
"Polis, Jared (D-CO)","$175,530"
"Cooper, Jim (D-TN)","$175,450"
"Harper, Gregg (R-MS)","$173,900"
"Mullin, Markwayne (R-OK)","$172,724"
"Flores, Bill (R-TX)","$172,590"
"Nadler, Jerrold (D-NY)","$172,283"
"Frankel, Lois J (D-FL)","$171,700"
"Velazquez, Nydia M (D-NY)","$168,900"
"Schweikert, David (R-AZ)","$167,500"
"Jeffries, Hakeem (D-NY)","$167,059"
"Valadao, David (R-CA)","$166,900"
"Kirkpatrick, Ann (D-AZ)","$165,333"
"Broun, Paul (R-GA)","$165,245"
"Ribble, Reid (R-WI)","$164,772"
"Blumenauer, Earl (D-OR)","$164,342"
"LoBiondo, Frank (R-NJ)","$163,050"
"Castro, Joaquin (D-TX)","$162,737"
"Ellison, Keith (D-MN)","$162,050"
"Ellmers, Renee (R-NC)","$160,750"
"Fortenberry, Jeff (R-NE)","$159,900"
"Speier, Jackie (D-CA)","$159,320"
