Candidate,Amount
"Boyd, Allen (D-FL)","$63,296"
"Inslee, Jay (D-WA)","$62,854"
"Meek, Kendrick B (D-FL)","$62,500"
"Ryan, Tim (D-OH)","$61,700"
"Austria, Steve (R-OH)","$61,550"
"Johnson, Sam (R-TX)","$61,500"
"Frelinghuysen, Rodney (R-NJ)","$60,950"
"Smith, Lamar (R-TX)","$60,550"
"Childers, Travis (D-MS)","$60,325"
"Lamborn, Douglas L (R-CO)","$60,250"
"Kirkpatrick, Ann (D-AZ)","$59,800"
"Stupak, Bart (D-MI)","$59,200"
"Crowley, Joseph (D-NY)","$59,100"
"Sutton, Betty Sue (D-OH)","$59,100"
"Gingrey, Phil (R-GA)","$59,000"
"Perlmutter, Ed (D-CO)","$58,800"
"Dicks, Norm (D-WA)","$58,100"
"Ellsworth, Brad (D-IN)","$57,700"
"Klein, Ron (D-FL)","$57,350"
"Skelton, Ike (D-MO)","$57,300"
"Cuellar, Henry (D-TX)","$57,200"
"Bishop, Timothy H (D-NY)","$56,650"
"Bright, Bobby (D-AL)","$56,163"
"Latham, Tom (R-IA)","$56,000"
"Kline, John (R-MN)","$55,450"
"Rangel, Charles B (D-NY)","$55,250"
"Rogers, Mike D (R-AL)","$55,050"
"Lujan, Ben Ray (D-NM)","$55,000"
"Mitchell, Harry (D-AZ)","$54,600"
"Peterson, Collin (D-MN)","$54,450"
"Price, Tom (R-GA)","$54,200"
"Bean, Melissa (D-IL)","$53,800"
"Latta, Robert E (R-OH)","$53,250"
"Bishop, Rob (R-UT)","$52,050"
"Guthrie, Brett (R-KY)","$51,450"
"Carter, John (R-TX)","$51,400"
"Jordan, Jim (R-OH)","$50,700"
"Titus, Dina (D-NV)","$50,400"
"Wittman, Rob (R-VA)","$50,049"
"Oberstar, James L (D-MN)","$49,450"
"Berkley, Shelley (D-NV)","$48,400"
"Paulsen, Erik (R-MN)","$47,300"
"Smith, Adrian (R-NE)","$46,750"
"Reed, Tom (R-NY)","$46,348"
"Himes, Jim (D-CT)","$46,250"
"Boccieri, John A (D-OH)","$46,100"
"Pallone, Frank Jr (D-NJ)","$46,050"
"Carney, Chris (D-PA)","$45,600"
"Mica, John L (R-FL)","$45,150"
"Kingston, Jack (R-GA)","$44,925"
"King, Steven A (R-IA)","$44,650"
"Taylor, Gene (D-MS)","$44,600"
"Bonner, Jo (R-AL)","$44,300"
"Etheridge, Bob (D-NC)","$43,250"
"Murtha, John P (D-PA)","$43,250"
"Kind, Ron (D-WI)","$43,200"
"LaTourette, Steve (R-OH)","$42,250"
"Van Hollen, Chris (D-MD)","$41,325"
"Inglis, Bob (R-SC)","$41,191"
"Rush, Bobby L (D-IL)","$40,750"
"Marchant, Kenny (R-TX)","$40,700"
"McIntyre, Mike (D-NC)","$40,250"
"Donnelly, Joe (D-IN)","$40,050"
"Stearns, Cliff (R-FL)","$40,000"
"Welch, Peter (D-VT)","$39,950"
"Schwartz, Allyson (D-PA)","$39,750"
"Thompson, Mike (D-CA)","$39,413"
"Aderholt, Robert B (R-AL)","$38,439"
"Harman, Jane (D-CA)","$38,400"
"Chaffetz, Jason (R-UT)","$38,000"
"Westmoreland, Lynn A (R-GA)","$37,750"
"Marshall, Jim (D-GA)","$37,700"
"Shuler, Heath (D-NC)","$37,650"
"Courtney, Joe (D-CT)","$37,550"
"Luetkemeyer, Blaine (R-MO)","$37,500"
"Reichert, Dave (R-WA)","$37,298"
"Eshoo, Anna (D-CA)","$37,250"
"Herger, Wally (R-CA)","$37,250"
"Graves, Sam (R-MO)","$37,000"
"Graves, Tom (R-GA)","$36,750"
"Jackson Lee, Sheila (D-TX)","$36,750"
"Maloney, Carolyn B (D-NY)","$36,600"
"Becerra, Xavier (D-CA)","$36,250"
"Matsui, Doris O (D-CA)","$35,700"
"McClintock, Tom (R-CA)","$35,700"
"Blumenauer, Earl (D-OR)","$35,412"
"Bilirakis, Gus (R-FL)","$35,400"
"Carnahan, Russ (D-MO)","$35,000"
"Lee, Christopher J (R-NY)","$34,550"
"Tonko, Paul (D-NY)","$34,550"
"Dreier, David (R-CA)","$34,500"
"Lewis, Jerry (R-CA)","$34,500"
"Pascrell, Bill Jr (D-NJ)","$34,500"
"Radanovich, George (R-CA)","$34,500"
"Ortiz, Solomon P (D-TX)","$34,400"
"Broun, Paul (R-GA)","$34,300"
"Boswell, Leonard (D-IA)","$34,271"
"Hodes, Paul W (D-NH)","$33,716"
"Schmidt, Jean (R-OH)","$32,600"
"McGovern, James P (D-MA)","$32,550"
"Bilbray, Brian P (R-CA)","$32,305"
"Buchanan, Vernon (R-FL)","$32,300"
"Doggett, Lloyd (D-TX)","$32,100"
"Goodlatte, Bob (R-VA)","$32,000"
"Biggert, Judy (R-IL)","$31,800"
"Miller, Candice S (R-MI)","$31,700"
"DeFazio, Peter (D-OR)","$31,000"
"Cardoza, Dennis (D-CA)","$30,800"
"Walz, Tim (D-MN)","$30,700"
"Brown, Henry (R-SC)","$30,500"
"Connolly, Gerry (D-VA)","$30,350"
"Schultz, Debbie Wasserman (D-FL)","$30,250"
"Shadegg, John (R-AZ)","$29,900"
"Schrader, Kurt (D-OR)","$29,750"
"Forbes, Randy (R-VA)","$29,300"
"Jackson, Jesse Jr (D-IL)","$29,000"
"Bishop, Sanford (D-GA)","$28,450"
"Stutzman, Marlin (R-IN)","$28,410"
"Hirono, Mazie K (D-HI)","$28,100"
"Frank, Barney (D-MA)","$28,050"
"LoBiondo, Frank (R-NJ)","$27,800"
"Foxx, Virginia (R-NC)","$27,750"
"Royce, Ed (R-CA)","$27,700"
"Farr, Sam (D-CA)","$27,620"
"Berry, Marion (D-AR)","$27,500"
"Hare, Phil (D-IL)","$27,400"
"Chandler, Ben (D-KY)","$27,297"
"Jones, Walter B Jr (R-NC)","$27,145"
"Lance, Leonard (R-NJ)","$27,100"
"Mack, Connie (R-FL)","$26,750"
"Andrews, Robert E (D-NJ)","$26,650"
"Duncan, John J Jr (R-TN)","$26,500"
"Holt, Rush (D-NJ)","$26,400"
"Lee, Barbara (D-CA)","$26,400"
"Cummings, Elijah E (D-MD)","$26,000"
"King, Pete (R-NY)","$26,000"
"Kissell, Larry (D-NC)","$25,775"
"Maffei, Dan (D-NY)","$25,591"
"Chu, Judy (D-CA)","$25,570"
"Coble, Howard (R-NC)","$25,500"
"Kosmas, Suzanne (D-FL)","$25,500"
"Fattah, Chaka (D-PA)","$25,000"
"Manzullo, Don (R-IL)","$24,725"
"Wolf, Frank (R-VA)","$24,100"
"Miller, Jeff (R-FL)","$24,000"
"Sanchez, Loretta (D-CA)","$23,350"
"Kanjorski, Paul E (D-PA)","$23,000"
"Tsongas, Niki (D-MA)","$22,700"
"Reyes, Silvestre (D-TX)","$22,650"
"Arcuri, Mike (D-NY)","$22,500"
"Crenshaw, Ander (R-FL)","$22,500"
"Garamendi, John (D-CA)","$22,500"
"DeLauro, Rosa L (D-CT)","$22,200"
"Souder, Mark E (R-IN)","$22,100"
"Conyers, John Jr (D-MI)","$21,850"
"Akin, Todd (R-MO)","$21,400"
"McCotter, Thaddeus G (R-MI)","$21,200"
"Young, C W Bill (R-FL)","$21,150"
"Franks, Trent (R-AZ)","$21,050"
"Driehaus, Steve (D-OH)","$21,000"
"Weiner, Anthony D (D-NY)","$20,750"
"Loebsack, David (D-IA)","$20,650"
"Ros-Lehtinen, Ileana (R-FL)","$20,150"
"Nye, Glenn (D-VA)","$19,900"
"Honda, Mike (D-CA)","$19,800"
"Deutch, Ted (D-FL)","$19,760"
"Davis, Danny K (D-IL)","$19,650"
"Perriello, Tom (D-VA)","$19,450"
"McDermott, Jim (D-WA)","$19,400"
"Berman, Howard L (D-CA)","$19,250"
"Brown, Corrine (D-FL)","$19,200"
"Quigley, Mike (D-IL)","$19,200"
"Lowey, Nita M (D-NY)","$19,150"
"Nadler, Jerrold (D-NY)","$19,100"
"Napolitano, Grace (D-CA)","$19,090"
"Higgins, Brian M (D-NY)","$19,085"
"Velazquez, Nydia M (D-NY)","$19,000"
"Braley, Bruce (D-IA)","$18,900"
"Green, Al (D-TX)","$18,900"
"Clay, William L Jr (D-MO)","$18,700"
"Kilpatrick, Carolyn Cheeks (D-MI)","$18,700"
"Miller, Gary (R-CA)","$18,600"
"Paul, Ron (R-TX)","$18,360"
"Baca, Joe (D-CA)","$18,350"
"Johnson, Timothy (R-IL)","$18,000"
"Hinchey, Maurice (D-NY)","$17,850"
"Buyer, Steve (R-IN)","$17,750"
"Richardson, Laura (D-CA)","$17,750"
"McHenry, Patrick (R-NC)","$17,700"
"Miller, Brad (D-NC)","$17,250"
"Hall, John (D-NY)","$17,200"
"Kagen, Steve (D-WI)","$16,850"
"Sarbanes, John (D-MD)","$16,650"
"McKeon, Buck (R-CA)","$16,500"
"Brady, Robert A (D-PA)","$16,000"
"Lofgren, Zoe (D-CA)","$15,800"
"Smith, Adam (D-WA)","$15,750"
"Moran, Jim (D-VA)","$15,700"
"DeGette, Diana (D-CO)","$15,500"
"Diaz-Balart, Mario (R-FL)","$15,500"
"Kilroy, Mary Jo (D-OH)","$15,450"
"Engel, Eliot L (D-NY)","$15,400"
"Baldwin, Tammy (D-WI)","$15,250"
"Roe, Phil (R-TN)","$15,250"
"Roybal-Allard, Lucille (D-CA)","$15,000"
"Filner, Bob (D-CA)","$14,700"
"Johnson, Eddie Bernice (D-TX)","$14,248"
"Petri, Tom (R-WI)","$14,100"
"Meeks, Gregory W (D-NY)","$14,050"
"Sensenbrenner, Jim (R-WI)","$14,050"
"Rohrabacher, Dana (R-CA)","$14,000"
"Lipinski, Daniel (D-IL)","$13,750"
"McCarthy, Carolyn (D-NY)","$13,750"
"Olver, John W (D-MA)","$13,750"
"Grijalva, Raul M (D-AZ)","$13,700"
"Flake, Jeff (R-AZ)","$13,650"
"Castor, Kathy (D-FL)","$13,500"
"Christian-Christensen, Donna (D-VI)","$13,500"
"Lewis, John (D-GA)","$13,250"
"Wu, David (D-OR)","$12,940"
"Scott, Bobby (D-VA)","$12,501"
"Turner, Michael R (R-OH)","$12,500"
"Hastings, Alcee L (D-FL)","$12,250"
"Fudge, Marcia L (D-OH)","$12,000"
"Capps, Lois (D-CA)","$11,750"
"Sherman, Brad (D-CA)","$11,600"
"Miller, George (D-CA)","$11,575"
"Putnam, Adam H (R-FL)","$11,500"
"Posey, Bill (R-FL)","$11,450"
"Owens, Bill (D-NY)","$11,300"
"Speier, Jackie (D-CA)","$11,300"
"Gallegly, Elton (R-CA)","$11,000"
"Michaud, Mike (D-ME)","$11,000"
"Rothman, Steven R (D-NJ)","$11,000"
"Sires, Albio (D-NJ)","$11,000"
"Ackerman, Gary (D-NY)","$10,800"
"Price, David (D-NC)","$10,750"
"Ruppersberger, Dutch (D-MD)","$10,500"
"Schiff, Adam (D-CA)","$10,500"
"Ehlers, Vernon J (R-MI)","$10,300"
"Platts, Todd (R-PA)","$9,800"
"Watt, Melvin L (D-NC)","$9,750"
"Kildee, Dale E (D-MI)","$9,500"
"Tauscher, Ellen (D-CA)","$9,500"
"Ellison, Keith (D-MN)","$9,400"
"Yarmuth, John A (D-KY)","$9,300"
"Sanchez, Linda (D-CA)","$9,200"
"Massa, Eric (D-NY)","$9,150"
"Brown-Waite, Ginny (R-FL)","$8,950"
"Davis, Susan (D-CA)","$8,900"
"Gutierrez, Luis V (D-IL)","$8,750"
"Hunter, Duncan D (R-CA)","$8,650"
"Payne, Donald M (D-NJ)","$8,100"
"Hinojosa, Ruben (D-TX)","$8,000"
"Carson, Andre (D-IN)","$7,750"
"Tierney, John F (D-MA)","$7,750"
"Campbell, John (R-CA)","$7,500"
"Scott, David (D-GA)","$7,500"
"Slaughter, Louise M (D-NY)","$7,500"
"Linder, John (R-GA)","$7,200"
"Shea-Porter, Carol (D-NH)","$7,000"
"Smith, Chris (R-NJ)","$6,700"
"Lynch, Stephen F (D-MA)","$6,500"
"Moore, Gwen (D-WI)","$6,450"
"Fortenberry, Jeff (R-NE)","$6,250"
"Johnson, Hank (D-GA)","$6,200"
"Bartlett, Roscoe G (R-MD)","$6,000"
"Cleaver, Emanuel (D-MO)","$6,000"
"Cooper, Jim (D-TN)","$5,950"
"Langevin, Jim (D-RI)","$5,750"
"McCollum, Betty (D-MN)","$5,500"
"Edwards, Donna (D-MD)","$5,000"
"Tanner, John (D-TN)","$5,000"
"Diaz-Balart, Lincoln (R-FL)","$4,250"
"Burton, Dan (R-IN)","$4,000"
"Pingree, Chellie (D-ME)","$4,000"
"Serrano, Jose E (D-NY)","$4,000"
"Cohen, Steve (D-TN)","$3,500"
"Clarke, Yvette D (D-NY)","$3,000"
"Polis, Jared (D-CO)","$3,000"
"Kaptur, Marcy (D-OH)","$2,800"
"Kennedy, Patrick J (D-RI)","$2,725"
"Schakowsky, Jan (D-IL)","$2,500"
"Woolsey, Lynn (D-CA)","$2,500"
"Waters, Maxine (D-CA)","$2,300"
"Baird, Brian (D-WA)","$2,000"
"Barrett, Gresham (R-SC)","$2,000"
"Faleomavaega, Eni F H (D-AS)","$2,000"
"Moore, Dennis (D-KS)","$2,000"
"Norton, Eleanor Holmes (D-DC)","$1,750"
"Grayson, Alan (D-FL)","$1,250"
"Bordallo, Madeleine Z (D-GU)","$1,000"
"Davis, Artur (D-AL)","$1,000"
"Pierluisi, Pedro (3-PR)","$1,000"
"Wexler, Robert (D-FL)","$1,000"
"Wamp, Zach (R-TN)",$927
"Kucinich, Dennis (D-OH)",$250
"Hoekstra, Peter (R-MI)","-$1,000"
"McHugh, John M (R-NY)","-$2,500"
"Abercrombie, Neil (D-HI)","-$10,000"
"Lincoln, Blanche (D-AR)","$908,291"
"Murkowski, Lisa (I-AK)","$903,096"
"Vitter, David (R-LA)","$677,672"
"Manchin, Joe (D-WV)","$675,498"
"Burr, Richard (R-NC)","$592,446"
"Reid, Harry (D-NV)","$550,859"
"Dorgan, Byron L (D-ND)","$477,734"
"Bennett, Robert F (R-UT)","$386,350"
