Candidate,Amount
"Beyer, Don (D-VA)","$174,625"
"Becerra, Xavier (D-CA)","$171,975"
"Yoder, Kevin (R-KS)","$171,100"
"McCaul, Michael (R-TX)","$162,500"
"Kilmer, Derek (D-WA)","$162,345"
"Kinzinger, Adam (R-IL)","$161,357"
"Honda, Mike (D-CA)","$160,355"
"Walters, Mimi (R-CA)","$160,350"
"Cardenas, Tony (D-CA)","$159,750"
"Collins, Doug (R-GA)","$159,650"
"Conyers, John Jr (D-MI)","$159,400"
"Olson, Pete (R-TX)","$156,010"
"Tiberi, Pat (R-OH)","$151,715"
"Latta, Robert E (R-OH)","$148,850"
"Butterfield, G K (D-NC)","$147,400"
"Guthrie, Brett (R-KY)","$146,250"
"Holding, George (R-NC)","$145,400"
"Reed, Tom (R-NY)","$145,400"
"Swalwell, Eric (D-CA)","$142,987"
"Bass, Karen (D-CA)","$139,900"
"Meehan, Patrick (R-PA)","$139,746"
"Edwards, Donna (D-MD)","$138,276"
"Pompeo, Mike (R-KS)","$136,000"
"Green, Gene (D-TX)","$134,900"
"Long, Billy (R-MO)","$134,150"
"Clarke, Yvette D (D-NY)","$133,231"
"Sinema, Kyrsten (D-AZ)","$132,554"
"Kuster, Ann (D-NH)","$132,345"
"Coffman, Mike (R-CO)","$132,245"
"Cramer, Kevin (R-ND)","$131,525"
"McHenry, Patrick (R-NC)","$126,400"
"Welch, Peter (D-VT)","$125,902"
"Lieu, Ted (D-CA)","$125,650"
"Flores, Bill (R-TX)","$124,436"
"Deutch, Ted (D-FL)","$124,072"
"Barton, Joe (R-TX)","$119,690"
"DeGette, Diana (D-CO)","$119,600"
"Schiff, Adam (D-CA)","$119,158"
"Boehner, John (R-OH)","$118,798"
"Ruiz, Raul (D-CA)","$118,722"
"Foster, Bill (D-IL)","$117,030"
"DeSantis, Ron (R-FL)","$116,630"
"Schrader, Kurt (D-OR)","$114,210"
"Marino, Tom (R-PA)","$113,100"
"Kind, Ron (D-WI)","$112,560"
"Sherman, Brad (D-CA)","$112,265"
"Farenthold, Blake (R-TX)","$111,900"
"Wagner, Ann L (R-MO)","$111,800"
"Dold, Bob (R-IL)","$111,400"
"Johnson, Bill (R-OH)","$111,200"
"Brooks, Susan (R-IN)","$110,750"
"Aguilar, Pete (D-CA)","$109,942"
"Shuster, Bill (R-PA)","$108,990"
"Nunes, Devin (R-CA)","$108,000"
"McNerney, Jerry (D-CA)","$107,850"
"Sanchez, Loretta (D-CA)","$106,700"
"Chu, Judy (D-CA)","$106,207"
"Richmond, Cedric (D-LA)","$105,700"
"Loebsack, David (D-IA)","$103,233"
