Candidate,Amount
"McKeon, Buck (R-CA)","$575,450"
"Ruppersberger, Dutch (D-MD)","$250,350"
"Young, C W Bill (R-FL)","$235,210"
"Brooks, Mo (R-AL)","$214,020"
"Smith, Adam (D-WA)","$207,800"
"Reyes, Silvestre (D-TX)","$199,500"
"Paul, Ron (R)","$198,308"
"Granger, Kay (R-TX)","$185,750"
"Wittman, Rob (R-VA)","$173,100"
"Moran, Jim (D-VA)","$166,500"
"Critz, Mark (D-PA)","$165,874"
"Turner, Michael R (R-OH)","$162,525"
"Thornberry, Mac (R-TX)","$161,800"
"Aderholt, Robert B (R-AL)","$157,500"
"Rogers, Hal (R-KY)","$154,750"
"Hoyer, Steny H (D-MD)","$152,700"
"Hunter, Duncan D (R-CA)","$152,550"
"Frelinghuysen, Rodney (R-NJ)","$147,725"
"Rogers, Mike D (R-AL)","$142,200"
"Bartlett, Roscoe G (R-MD)","$137,100"
"Connolly, Gerry (D-VA)","$136,250"
"Forbes, Randy (R-VA)","$134,300"
"Boehner, John (R-OH)","$132,850"
"Rogers, Mike (R-MI)","$132,250"
"Courtney, Joe (D-CT)","$129,500"
"Akin, Todd (R-MO)","$127,200"
"Rigell, Scott (R-VA)","$124,849"
"Rothman, Steven R (D-NJ)","$117,750"
"Kingston, Jack (R-GA)","$117,000"
"Andrews, Robert E (D-NJ)","$115,600"
"Langevin, Jim (D-RI)","$114,250"
"Miller, Jeff (R-FL)","$112,250"
"West, Allen (R-FL)","$111,029"
"Calvert, Ken (R-CA)","$110,650"
"Wilson, Joe (R-SC)","$109,900"
"Palazzo, Steven (R-MS)","$106,500"
"Visclosky, Pete (D-IN)","$105,500"
"Cantor, Eric (R-VA)","$105,300"
"Runyan, Jon (R-NJ)","$103,798"
"Israel, Steve (D-NY)","$103,250"
"Coffman, Mike (R-CO)","$100,100"
"Sanchez, Loretta (D-CA)","$97,750"
"Lamborn, Douglas L (R-CO)","$97,500"
"Dicks, Norm (D-WA)","$97,250"
"McIntyre, Mike (D-NC)","$97,124"
"King, Pete (R-NY)","$94,500"
"Heck, Joe (R-NV)","$94,199"
"Wolf, Frank (R-VA)","$94,196"
"Hanabusa, Colleen (D-HI)","$90,600"
"Latham, Tom (R-IA)","$88,650"
"Bonner, Jo (R-AL)","$86,350"
"Crenshaw, Ander (R-FL)","$85,500"
"Kaptur, Marcy (D-OH)","$85,500"
"Posey, Bill (R-FL)","$84,200"
"Gibson, Chris (R-NY)","$82,998"
"Bilbray, Brian P (R-CA)","$82,500"
"Larsen, Rick (D-WA)","$81,500"
"LoBiondo, Frank (R-NJ)","$81,250"
"Thompson, Bennie G (D-MS)","$79,250"
"Clyburn, James E (D-SC)","$78,750"
"Larson, John B (D-CT)","$78,700"
"Issa, Darrell (R-CA)","$77,050"
"Lewis, Jerry (R-CA)","$77,000"
"Hochul, Kathleen (D-NY)","$76,650"
"Conaway, Mike (R-TX)","$75,000"
"McCarthy, Kevin (R-CA)","$73,800"
"Rooney, Tom (R-FL)","$73,700"
"Lungren, Dan (R-CA)","$73,000"
"Owens, Bill (D-NY)","$71,624"
"Cole, Tom (R-OK)","$71,250"
"Hartzler, Vicky (R-MO)","$71,134"
"Bishop, Sanford (D-GA)","$68,500"
"Price, David (D-NC)","$67,850"
"Pastor, Ed (D-AZ)","$67,500"
"McCaul, Michael (R-TX)","$67,000"
"Bass, Charles (R-NH)","$66,950"
"Young, Todd (R-IN)","$66,750"
"Heinrich, Martin (D-NM)","$66,700"
"Austria, Steve (R-OH)","$65,360"
"Davis, Susan (D-CA)","$65,350"
"Shuster, Bill (R-PA)","$65,000"
"Van Hollen, Chris (D-MD)","$65,000"
"Franks, Trent (R-AZ)","$64,000"
"Mica, John L (R-FL)","$60,950"
"Schilling, Bobby (R-IL)","$60,499"
