Candidate,Amount
"Manchin, Joe (D-WV)","$778,900"
"McConnell, Mitch (R-KY)","$707,849"
"Barrasso, John A (R-WY)","$705,797"
"Brown, Scott (R-MA)","$672,923"
"Heller, Dean (R-NV)","$662,526"
"Hatch, Orrin G (R-UT)","$647,818"
"Corker, Bob (R-TN)","$489,218"
"Landrieu, Mary L (D-LA)","$353,801"
"Feinstein, Dianne (D-CA)","$346,450"
"Wicker, Roger (R-MS)","$310,542"
"Stabenow, Debbie (D-MI)","$286,010"
"Cantwell, Maria (D-WA)","$267,389"
"McCaskill, Claire (D-MO)","$225,258"
"Murkowski, Lisa (R-AK)","$224,168"
"Menendez, Robert (D-NJ)","$220,750"
"Inhofe, James M (R-OK)","$211,600"
"Casey, Bob (D-PA)","$203,300"
"Gillibrand, Kirsten (D-NY)","$201,448"
"Tester, Jon (D-MT)","$195,147"
"Baucus, Max (D-MT)","$193,450"
"Cornyn, John (R-TX)","$192,800"
"Lugar, Richard G (R-IN)","$189,850"
"Brown, Sherrod (D-OH)","$188,560"
"Nelson, Bill (D-FL)","$182,950"
"Udall, Mark (D-CO)","$166,700"
"Graham, Lindsey (R-SC)","$162,850"
"Cardin, Ben (D-MD)","$160,900"
"Begich, Mark (D-AK)","$146,200"
"Thune, John (R-SD)","$144,239"
"Toomey, Pat (R-PA)","$138,999"
"Carper, Tom (D-DE)","$135,770"
"Vitter, David (R-LA)","$131,400"
"Nelson, Ben (D-NE)","$120,550"
"Chambliss, Saxby (R-GA)","$99,053"
"Warner, Mark (D-VA)","$97,570"
"Snowe, Olympia (R-ME)","$96,650"
"Wyden, Ron (D-OR)","$93,750"
"Klobuchar, Amy (D-MN)","$91,148"
"Portman, Rob (R-OH)","$86,250"
"Risch, James E (R-ID)","$76,830"
"Lee, Mike (R-UT)","$74,645"
"Rubio, Marco (R-FL)","$72,450"
"Crapo, Mike (R-ID)","$68,268"
"Reid, Harry (D-NV)","$67,692"
"Hoeven, John (R-ND)","$64,873"
"Pryor, Mark (D-AR)","$64,000"
"Whitehouse, Sheldon (D-RI)","$60,432"
"Bennet, Michael (D-CO)","$52,500"
"Blunt, Roy (R-MO)","$51,400"
"Udall, Tom (D-NM)","$51,113"
"Coons, Chris (D-DE)","$47,923"
"Johnson, Tim (D-SD)","$46,800"
"Moran, Jerry (R-KS)","$38,950"
"Coats, Dan (R-IN)","$37,500"
"Franken, Al (D-MN)","$35,823"
"Roberts, Pat (R-KS)","$32,250"
"Shaheen, Jeanne (D-NH)","$29,500"
"Cochran, Thad (R-MS)","$27,606"
"Durbin, Dick (D-IL)","$27,400"
"Schumer, Charles E (D-NY)","$27,000"
"Alexander, Lamar (R-TN)","$24,000"
"Merkley, Jeff (D-OR)","$23,400"
"Hagan, Kay R (D-NC)","$21,249"
"Ayotte, Kelly (R-NH)","$20,000"
"Isakson, Johnny (R-GA)","$20,000"
"Sessions, Jeff (R-AL)","$19,000"
"DeMint, Jim (R-SC)","$17,500"
"Grassley, Chuck (R-IA)","$17,000"
"Murray, Patty (D-WA)","$17,000"
"Rockefeller, Jay (D-WV)","$17,000"
"Enzi, Mike (R-WY)","$16,000"
"Harkin, Tom (D-IA)","$13,600"
"Johanns, Mike (R-NE)","$12,250"
"Burr, Richard (R-NC)","$11,500"
"Collins, Susan M (R-ME)","$10,000"
"Kirk, Mark (R-IL)","$9,000"
"Johnson, Ron (R-WI)","$8,150"
"Boozman, John (R-AR)","$8,130"
"Mikulski, Barbara A (D-MD)","$8,000"
"Shelby, Richard C (R-AL)","$8,000"
"Sanders, Bernie (I-VT)","$7,350"
"Blumenthal, Richard (D-CT)","$5,000"
"Inouye, Daniel K (D-HI)","$5,000"
"Lautenberg, Frank (D-NJ)","$3,000"
"Leahy, Patrick (D-VT)","$3,000"
"Ensign, John (R-NV)","$2,000"
"Kerry, John (D-MA)","$2,000"
"Paul, Rand (R-KY)","$1,350"
"Coburn, Tom (R-OK)",$750
"Reed, Jack (D-RI)",$750
"Kyl, Jon (R-AZ)",$500
"Levin, Carl (D-MI)","-$1,000"
"Conrad, Kent (D-ND)","-$3,000"
"McCain, John (R-AZ)","-$3,500"
"Webb, Jim (D-VA)","-$17,800"
"Bingaman, Jeff (D-NM)","-$23,800"
"Boehner, John (R-OH)","$1,414,342"
"Rehberg, Denny (R-MT)","$885,661"
"Berg, Rick (R-ND)","$871,264"
"Upton, Fred (R-MI)","$677,258"
"Cantor, Eric (R-VA)","$596,894"
"McKinley, David (R-WV)","$553,575"
"Whitfield, Ed (R-KY)","$529,400"
"Camp, Dave (R-MI)","$486,600"
"Flake, Jeff (R-AZ)","$484,587"
"McCarthy, Kevin (R-CA)","$464,150"
"Shimkus, John (R-IL)","$428,409"
"Boustany, Charles Jr (R-LA)","$410,370"
"Pompeo, Mike (R-KS)","$383,300"
"Hastings, Doc (R-WA)","$377,213"
"Paul, Ron (R)","$367,316"
"Murphy, Tim (R-PA)","$365,533"
"Gardner, Cory (R-CO)","$354,850"
"Barton, Joe (R-TX)","$340,300"
"Landry, Jeff (R-LA)","$335,666"
"Pearce, Steve (R-NM)","$323,725"
"Capito, Shelley Moore (R-WV)","$318,686"
"Coffman, Mike (R-CO)","$316,806"
"Sullivan, John (R-OK)","$315,450"
"Mack, Connie (R-FL)","$305,329"
"Hoyer, Steny H (D-MD)","$302,300"
"Johnson, Bill (R-OH)","$300,850"
"Griffith, Morgan (R-VA)","$276,388"
"Olson, Pete (R-TX)","$269,500"
"Tipton, Scott (R-CO)","$265,766"
"Flores, Bill (R-TX)","$265,066"
"Fleming, John (R-LA)","$255,575"
"Walden, Greg (R-OR)","$245,720"
"Gibbs, Bob (R-OH)","$243,550"
"Canseco, Quico (R-TX)","$240,734"
"Renacci, Jim (R-OH)","$240,117"
"Barrow, John (D-GA)","$236,529"
"Matheson, Jim (D-UT)","$236,400"
"Critz, Mark (D-PA)","$234,354"
"Lankford, James (R-OK)","$231,850"
"Hensarling, Jeb (R-TX)","$221,750"
"Scalise, Steve (R-LA)","$219,725"
"West, Allen (R-FL)","$217,425"
"Terry, Lee (R-NE)","$216,000"
"Conaway, Mike (R-TX)","$208,086"
"Brady, Kevin (R-TX)","$204,165"
"Benishek, Dan (R-MI)","$203,450"
"Sessions, Pete (R-TX)","$201,050"
"Shuster, Bill (R-PA)","$199,300"
"Lummis, Cynthia (R-WY)","$196,800"
"Tiberi, Pat (R-OH)","$193,050"
"Cassidy, Bill (R-LA)","$188,350"
"Noem, Kristi (R-SD)","$186,667"
"Kinzinger, Adam (R-IL)","$179,249"
"Altmire, Jason (D-PA)","$179,010"
"Jenkins, Lynn (R-KS)","$177,950"
"Bilbray, Brian P (R-CA)","$176,800"
"Reed, Tom (R-NY)","$176,512"
"Simpson, Mike (R-ID)","$171,949"
"Lungren, Dan (R-CA)","$170,066"
"Green, Gene (D-TX)","$167,500"
"Cole, Tom (R-OK)","$165,450"
"Latham, Tom (R-IA)","$164,950"
"Clyburn, James E (D-SC)","$161,550"
"Stivers, Steve (R-OH)","$160,950"
"Dent, Charlie (R-PA)","$155,600"
"Rogers, Hal (R-KY)","$152,599"
"Roskam, Peter (R-IL)","$148,350"
"Akin, Todd (R-MO)","$147,758"
"Neugebauer, Randy (R-TX)","$147,750"
"Bachmann, Michele (R-MN)","$146,024"
"Latta, Robert E (R-OH)","$144,450"
"Schock, Aaron (R-IL)","$143,200"
"Lucas, Frank D (R-OK)","$140,500"
"Dingell, John D (D-MI)","$139,600"
"Thompson, Glenn (R-PA)","$137,900"
"Bass, Charles (R-NH)","$137,750"
"Harper, Gregg (R-MS)","$137,750"
"Cuellar, Henry (D-TX)","$135,875"
"Rogers, Mike (R-MI)","$131,600"
"Blackburn, Marsha (R-TN)","$131,000"
"Heinrich, Martin (D-NM)","$130,650"
"Farenthold, Blake (R-TX)","$127,835"
"Murphy, Christopher S (D-CT)","$126,939"
"Costa, Jim (D-CA)","$126,600"
"Rodgers, Cathy McMorris (R-WA)","$126,445"
"Heck, Joe (R-NV)","$122,850"
"Young, Don (R-AK)","$122,800"
"Bono Mack, Mary (R-CA)","$122,266"
"Bucshon, Larry (R-IN)","$120,425"
