Candidate,Amount
"Shelby, Richard C (R-AL)","$319,850"
"Inouye, Daniel K (D-HI)","$260,300"
"Murray, Patty (D-WA)","$207,110"
"McCain, John (R-AZ)","$174,300"
"Burr, Richard (R-NC)","$173,597"
"Mikulski, Barbara A (D-MD)","$155,685"
"Thune, John (R-SD)","$132,150"
"Schumer, Charles E (D-NY)","$125,250"
"Bennett, Robert F (R-UT)","$116,800"
"Dorgan, Byron L (D-ND)","$108,750"
"Reid, Harry (D-NV)","$105,100"
"Gillibrand, Kirsten (D-NY)","$98,700"
"Wicker, Roger (R-MS)","$89,350"
"Leahy, Patrick (D-VT)","$88,050"
"Nelson, Bill (D-FL)","$87,167"
"Murkowski, Lisa (I-AK)","$85,750"
"Brown, Scott (R-MA)","$84,376"
"Lincoln, Blanche (D-AR)","$74,650"
"Webb, Jim (D-VA)","$66,150"
"Specter, Arlen (D-PA)","$62,800"
"Feinstein, Dianne (D-CA)","$60,300"
"Vitter, David (R-LA)","$57,000"
"Bayh, Evan (D-IN)","$56,647"
"Dodd, Chris (D-CT)","$51,450"
"Wyden, Ron (D-OR)","$50,900"
"Lieberman, Joe (I-CT)","$50,650"
"Grassley, Chuck (R-IA)","$50,000"
"Bennet, Michael (D-CO)","$47,400"
"Nelson, Ben (D-NE)","$44,800"
"Isakson, Johnny (R-GA)","$42,100"
"Crapo, Mike (R-ID)","$38,500"
"Coburn, Tom (R-OK)","$36,650"
"Landrieu, Mary L (D-LA)","$36,100"
"McCaskill, Claire (D-MO)","$32,600"
"Warner, Mark (D-VA)","$30,950"
"Durbin, Dick (D-IL)","$30,800"
"Cochran, Thad (R-MS)","$29,400"
"DeMint, Jim (R-SC)","$26,801"
"Collins, Susan M (R-ME)","$26,250"
"McConnell, Mitch (R-KY)","$24,900"
"Hagan, Kay R (D-NC)","$24,650"
"Brown, Sherrod (D-OH)","$24,300"
"Manchin, Joe (D-WV)","$22,300"
"Hatch, Orrin G (R-UT)","$20,500"
"Boxer, Barbara (D-CA)","$20,150"
"Casey, Bob (D-PA)","$19,750"
"Udall, Mark (D-CO)","$19,500"
"Bingaman, Jeff (D-NM)","$19,000"
"Kerry, John (D-MA)","$18,200"
"Cardin, Ben (D-MD)","$17,000"
"Shaheen, Jeanne (D-NH)","$16,267"
"Bunning, Jim (R-KY)","$14,000"
"Coons, Chris (D-DE)","$13,500"
"Graham, Lindsey (R-SC)","$13,500"
"Baucus, Max (D-MT)","$12,500"
"Feingold, Russ (D-WI)","$12,410"
"Chambliss, Saxby (R-GA)","$12,300"
"Corker, Bob (R-TN)","$11,050"
"Harkin, Tom (D-IA)","$11,000"
"Barrasso, John A (R-WY)","$10,500"
"Rockefeller, Jay (D-WV)","$10,000"
"Cornyn, John (R-TX)","$9,550"
"Reed, Jack (D-RI)","$9,500"
"Inhofe, James M (R-OK)","$9,250"
"Alexander, Lamar (R-TN)","$9,000"
"Whitehouse, Sheldon (D-RI)","$8,500"
"Begich, Mark (D-AK)","$8,000"
"Snowe, Olympia (R-ME)","$8,000"
"Tester, Jon (D-MT)","$7,250"
"Burris, Roland (D-IL)","$6,250"
"Hutchison, Kay Bailey (R-TX)","$6,000"
"Menendez, Robert (D-NJ)","$6,000"
"Roberts, Pat (R-KS)","$5,500"
"Brownback, Sam (R-KS)","$5,000"
"Lugar, Richard G (R-IN)","$5,000"
"Sessions, Jeff (R-AL)","$5,000"
"Stabenow, Debbie (D-MI)","$5,000"
"Carper, Tom (D-DE)","$4,800"
"Merkley, Jeff (D-OR)","$4,500"
"Clinton, Hillary (D-NY)","$4,400"
"Cantwell, Maria (D-WA)","$4,000"
"Risch, James E (R-ID)","$4,000"
"Conrad, Kent (D-ND)","$3,000"
"Franken, Al (D-MN)","$2,900"
"Bond, Christopher ""Kit"" (R-MO)","$2,500"
"Kyl, Jon (R-AZ)","$2,500"
"Martinez, Mel (R-FL)","$2,000"
"Salazar, Ken (D-CO)","$2,000"
"Udall, Tom (D-NM)","$2,000"
"Klobuchar, Amy (D-MN)","$1,500"
"Pryor, Mark (D-AR)","$1,500"
"Johanns, Mike (R-NE)","$1,000"
"Johnson, Tim (D-SD)","$1,000"
"Voinovich, George V (R-OH)","-$2,000"
"Lautenberg, Frank (D-NJ)","-$3,000"
"Biden, Joe (D-DE)","-$5,000"
"Skelton, Ike (D-MO)","$448,211"
"McKeon, Buck (R-CA)","$345,100"
"Moran, Jim (D-VA)","$218,450"
"Sestak, Joe (D-PA)","$213,710"
"Murtha, John P (D-PA)","$204,150"
"Reyes, Silvestre (D-TX)","$176,350"
"Critz, Mark (D-PA)","$170,419"
"Wittman, Rob (R-VA)","$170,100"
"Ruppersberger, Dutch (D-MD)","$169,200"
"Dicks, Norm (D-WA)","$165,700"
"Hoyer, Steny H (D-MD)","$158,050"
"Nye, Glenn (D-VA)","$154,450"
"Young, C W Bill (R-FL)","$147,000"
"Giffords, Gabrielle (D-AZ)","$145,400"
"Granger, Kay (R-TX)","$142,350"
"Aderholt, Robert B (R-AL)","$139,050"
"Hunter, Duncan D (R-CA)","$135,850"
"Spratt, John M Jr (D-SC)","$134,250"
"Murphy, Patrick J (D-PA)","$133,150"
"Connolly, Gerry (D-VA)","$128,300"
"Rogers, Mike D (R-AL)","$127,167"
"Miller, Jeff (R-FL)","$126,400"
"Thompson, Bennie G (D-MS)","$120,550"
"Forbes, Randy (R-VA)","$117,100"
"Lewis, Jerry (R-CA)","$116,200"
"Courtney, Joe (D-CT)","$115,850"
"Tiahrt, Todd (R-KS)","$114,775"
"Larson, John B (D-CT)","$114,200"
"Akin, Todd (R-MO)","$113,280"
"Frelinghuysen, Rodney (R-NJ)","$113,200"
"Rogers, Hal (R-KY)","$111,550"
"Turner, Michael R (R-OH)","$111,435"
"Boyd, Allen (D-FL)","$108,700"
"Mollohan, Alan B (D-WV)","$108,400"
"Langevin, Jim (D-RI)","$104,550"
"Kingston, Jack (R-GA)","$103,800"
"Sanchez, Loretta (D-CA)","$98,900"
"Heinrich, Martin (D-NM)","$98,300"
"Smith, Adam (D-WA)","$98,250"
"Taylor, Gene (D-MS)","$97,250"
"Ortiz, Solomon P (D-TX)","$94,850"
"Edwards, Chet (D-TX)","$93,250"
"Cantor, Eric (R-VA)","$92,500"
"Griffith, Parker (R-AL)","$91,250"
"Blunt, Roy (R-MO)","$89,800"
"Clyburn, James E (D-SC)","$88,660"
"Kratovil, Frank (D-MD)","$88,500"
"Obey, David R (D-WI)","$88,050"
"Calvert, Ken (R-CA)","$87,250"
"Harman, Jane (D-CA)","$86,650"
"Thornberry, Mac (R-TX)","$85,250"
"Hinchey, Maurice (D-NY)","$84,250"
"Boehner, John (R-OH)","$84,050"
"Kirk, Mark (R-IL)","$83,972"
"Bartlett, Roscoe G (R-MD)","$82,200"
"Massa, Eric (D-NY)","$81,901"
"King, Pete (R-NY)","$81,250"
"Bishop, Sanford (D-GA)","$78,300"
"Israel, Steve (D-NY)","$77,600"
"Wolf, Frank (R-VA)","$77,200"
"Wilson, Joe (R-SC)","$76,965"
"Marshall, Jim (D-GA)","$76,800"
