Candidate,Amount
"Boehner, John (R-OH)","$1,781,578"
"Gardner, Cory (R-CO)","$1,181,063"
"Cassidy, Bill (R-LA)","$1,142,370"
"Capito, Shelley Moore (R-WV)","$738,815"
"Lankford, James (R-OK)","$682,407"
"Cotton, Tom (R-AR)","$673,581"
"Daines, Steven (R-MT)","$668,652"
"Upton, Fred (R-MI)","$570,500"
"McCarthy, Kevin (R-CA)","$540,860"
"Pompeo, Mike (R-KS)","$522,100"
"Johnson, Bill (R-OH)","$480,112"
"Coffman, Mike (R-CO)","$475,336"
"Whitfield, Ed (R-KY)","$454,950"
"Ryan, Paul (R-WI)","$439,924"
"Scalise, Steve (R-LA)","$418,124"
"Shuster, Bill (R-PA)","$407,988"
"Pearce, Steve (R-NM)","$397,932"
"Brady, Kevin (R-TX)","$361,750"
"McKinley, David (R-WV)","$349,100"
"Shimkus, John (R-IL)","$347,200"
"Simpson, Mike (R-ID)","$345,637"
"Olson, Pete (R-TX)","$334,799"
"Barr, Andy (R-KY)","$311,960"
"Cramer, Kevin (R-ND)","$308,550"
"Conaway, Mike (R-TX)","$307,786"
"Reed, Tom (R-NY)","$302,782"
"Barrow, John (D-GA)","$287,450"
"Boustany, Charles Jr (R-LA)","$285,000"
"Hoyer, Steny H (D-MD)","$284,750"
"Flores, Bill (R-TX)","$279,188"
"Cantor, Eric (R-VA)","$278,166"
"Davis, Rodney (R-IL)","$272,157"
"Terry, Lee (R-NE)","$271,207"
"Rothfus, Keith J (R-PA)","$270,631"
"Barton, Joe (R-TX)","$269,950"
"Walden, Greg (R-OR)","$265,100"
"Williams, Roger (R-TX)","$258,012"
"Murphy, Tim (R-PA)","$247,900"
"Fleming, John (R-LA)","$224,950"
"Tipton, Scott (R-CO)","$219,338"
"Kinzinger, Adam (R-IL)","$214,600"
"Jenkins, Lynn (R-KS)","$203,100"
"Sessions, Pete (R-TX)","$203,050"
"Tiberi, Pat (R-OH)","$198,950"
"Harper, Gregg (R-MS)","$197,300"
"Benishek, Dan (R-MI)","$192,105"
"Kelly, Mike (R-PA)","$192,050"
"Stivers, Steve (R-OH)","$190,800"
"Rodgers, Cathy McMorris (R-WA)","$185,640"
"Camp, Dave (R-MI)","$182,899"
"Thompson, Glenn (R-PA)","$181,580"
"Mullin, Markwayne (R-OK)","$177,100"
"Cuellar, Henry (D-TX)","$173,950"
"Peters, Gary (D-MI)","$171,533"
"Griffith, Morgan (R-VA)","$170,400"
"Roskam, Peter (R-IL)","$165,750"
"Latta, Robert E (R-OH)","$161,000"
"Green, Gene (D-TX)","$160,300"
"Cole, Tom (R-OK)","$154,500"
"Dent, Charlie (R-PA)","$152,449"
"Costa, Jim (D-CA)","$151,499"
"Bishop, Rob (R-UT)","$150,499"
"Wagner, Ann L (R-MO)","$149,900"
"Nunes, Devin (R-CA)","$147,099"
"Blackburn, Marsha (R-TN)","$146,100"
"McCaul, Michael (R-TX)","$145,650"
"Bucshon, Larry (R-IN)","$145,300"
"Noem, Kristi (R-SD)","$144,800"
"Clyburn, James E (D-SC)","$143,750"
"Kingston, Jack (R-GA)","$143,192"
"Valadao, David (R-CA)","$142,499"
"Rogers, Hal (R-KY)","$142,400"
"Southerland, Steve (R-FL)","$140,800"
"Joyce, David P (R-OH)","$137,880"
"Lummis, Cynthia (R-WY)","$133,800"
"Neugebauer, Randy (R-TX)","$133,450"
"Doyle, Mike (D-PA)","$133,000"
"Guthrie, Brett (R-KY)","$132,600"
"Walberg, Tim (R-MI)","$131,850"
"Royce, Ed (R-CA)","$131,400"
"Thornberry, Mac (R-TX)","$130,800"
"Kline, John (R-MN)","$130,100"
"Nunnelee, Alan (R-MS)","$129,800"
